time,power_opt
2025-05-01 00:00:00,-610.11
2025-05-01 00:05:00,-550.12
2025-05-01 00:10:00,-606.09
2025-05-01 00:15:00,-578.11
2025-05-01 00:20:00,-546.11
2025-05-01 00:25:00,-578.12
2025-05-01 00:30:00,-602.11
2025-05-01 00:35:00,-670.11
2025-05-01 00:40:00,-562.06
2025-05-01 00:45:00,-678.1
2025-05-01 00:50:00,-658.11
2025-05-01 00:55:00,-674.08
2025-05-01 01:00:00,-602.09
2025-05-01 01:05:00,-654.06
2025-05-01 01:10:00,-586.08
2025-05-01 01:15:00,-558.1
2025-05-01 01:20:00,-666.07
2025-05-01 01:25:00,-634.1
2025-05-01 01:30:00,-622.08
2025-05-01 01:35:00,-670.08
2025-05-01 01:40:00,-626.07
2025-05-01 01:45:00,-658.12
2025-05-01 01:50:00,-718.11
2025-05-01 01:55:00,-658.09
2025-05-01 02:00:00,-746.08
2025-05-01 02:05:00,-726.09
2025-05-01 02:10:00,-818.1
2025-05-01 02:15:00,-718.08
2025-05-01 02:20:00,-746.06
2025-05-01 02:25:00,-710.11
2025-05-01 02:30:00,-766.09
2025-05-01 02:35:00,-850.08
2025-05-01 02:40:00,-894.11
2025-05-01 02:45:00,-778.06
2025-05-01 02:50:00,-662.09
2025-05-01 02:55:00,-642.09
2025-05-01 03:00:00,-586.11
2025-05-01 03:05:00,-678.1
2025-05-01 03:10:00,-526.14
2025-05-01 03:15:00,-602.12
2025-05-01 03:20:00,-670.06
2025-05-01 03:25:00,-590.09
2025-05-01 03:30:00,-618.12
2025-05-01 03:35:00,-690.1
2025-05-01 03:40:00,-630.11
2025-05-01 03:45:00,-622.12
2025-05-01 03:50:00,-646.11
2025-05-01 03:55:00,-626.1
2025-05-01 04:00:00,-630.11
2025-05-01 04:05:00,-666.1
2025-05-01 04:10:00,-662.1
2025-05-01 04:15:00,-890.1
2025-05-01 04:20:00,-926.1
2025-05-01 04:25:00,-674.08
2025-05-01 04:30:00,-650.09
2025-05-01 04:35:00,-610.12
2025-05-01 04:40:00,-654.12
2025-05-01 04:45:00,-642.04
2025-05-01 04:50:00,-634.09
2025-05-01 04:55:00,-730.08
2025-05-01 05:00:00,-642.13
2025-05-01 05:05:00,-626.08
2025-05-01 05:10:00,-590.09
2025-05-01 05:15:00,-654.12
2025-05-01 05:20:00,-686.1
2025-05-01 05:25:00,-666.11
2025-05-01 05:30:00,-666.08
2025-05-01 05:35:00,-702.12
2025-05-01 05:40:00,-810.08
2025-05-01 05:45:00,-738.08
2025-05-01 05:50:00,-786.09
2025-05-01 05:55:00,-730.08
2025-05-01 06:00:00,-758.06
2025-05-01 06:05:00,-854.11
2025-05-01 06:10:00,-770.1
2025-05-01 06:15:00,-770.1
2025-05-01 06:20:00,-846.08
2025-05-01 06:25:00,-766.06
2025-05-01 06:30:00,-858.08
2025-05-01 06:35:00,-950.1
2025-05-01 06:40:00,-906.08
2025-05-01 06:45:00,-886.1
2025-05-01 06:50:00,-906.11
2025-05-01 06:55:00,-966.1
2025-05-01 07:00:00,-902.13
2025-05-01 07:05:00,-938.13
2025-05-01 07:10:00,-830.09
2025-05-01 07:15:00,-886.09
2025-05-01 07:20:00,-950.07
2025-05-01 07:25:00,-902.09
2025-05-01 07:30:00,-970.1
2025-05-01 07:35:00,-902.09
2025-05-01 07:40:00,-934.07
2025-05-01 07:45:00,-850.07
2025-05-01 07:50:00,-1006.08
2025-05-01 07:55:00,-990.13
2025-05-01 08:00:00,9000.0
2025-05-01 08:05:00,9000.0
2025-05-01 08:10:00,9000.0
2025-05-01 08:15:00,9000.0
2025-05-01 08:20:00,9000.0
2025-05-01 08:25:00,9000.0
2025-05-01 08:30:00,9000.0
2025-05-01 08:35:00,9000.0
2025-05-01 08:40:00,9000.0
2025-05-01 08:45:00,9000.0
2025-05-01 08:50:00,8999.998
2025-05-01 08:55:00,3032.103
2025-05-01 09:00:00,0.0
2025-05-01 09:05:00,0.0
2025-05-01 09:10:00,0.0
2025-05-01 09:15:00,0.0
2025-05-01 09:20:00,0.0
2025-05-01 09:25:00,0.0
2025-05-01 09:30:00,0.0
2025-05-01 09:35:00,0.0
2025-05-01 09:40:00,0.0
2025-05-01 09:45:00,0.0
2025-05-01 09:50:00,0.0
2025-05-01 09:55:00,0.0
2025-05-01 10:00:00,0.0
2025-05-01 10:05:00,0.0
2025-05-01 10:10:00,0.0
2025-05-01 10:15:00,0.0
2025-05-01 10:20:00,0.0
2025-05-01 10:25:00,0.0
2025-05-01 10:30:00,0.0
2025-05-01 10:35:00,0.0
2025-05-01 10:40:00,0.0
2025-05-01 10:45:00,0.0
2025-05-01 10:50:00,0.0
2025-05-01 10:55:00,0.0
2025-05-01 11:00:00,-906.09
2025-05-01 11:05:00,-954.06
2025-05-01 11:10:00,-822.05
2025-05-01 11:15:00,-930.07
2025-05-01 11:20:00,-834.1
2025-05-01 11:25:00,-890.1
2025-05-01 11:30:00,-926.11
2025-05-01 11:35:00,-862.12
2025-05-01 11:40:00,-882.08
2025-05-01 11:45:00,-978.1
2025-05-01 11:50:00,-942.08
2025-05-01 11:55:00,-974.04
2025-05-01 12:00:00,-818.08
2025-05-01 12:05:00,-870.12
2025-05-01 12:10:00,-790.11
2025-05-01 12:15:00,-730.07
2025-05-01 12:20:00,-850.07
2025-05-01 12:25:00,-882.13
2025-05-01 12:30:00,-878.08
2025-05-01 12:35:00,-854.09
2025-05-01 12:40:00,-650.11
2025-05-01 12:45:00,-538.07
2025-05-01 12:50:00,-518.07
2025-05-01 12:55:00,-458.08
2025-05-01 13:00:00,-354.07
2025-05-01 13:05:00,-338.11
2025-05-01 13:10:00,-422.07
2025-05-01 13:15:00,-338.12
2025-05-01 13:20:00,-366.09
2025-05-01 13:25:00,-566.08
2025-05-01 13:30:00,-446.08
2025-05-01 13:35:00,-462.1
2025-05-01 13:40:00,-546.09
2025-05-01 13:45:00,-498.11
2025-05-01 13:50:00,-450.1
2025-05-01 13:55:00,-626.07
2025-05-01 14:00:00,-566.1
2025-05-01 14:05:00,-590.09
2025-05-01 14:10:00,-658.08
2025-05-01 14:15:00,-422.08
2025-05-01 14:20:00,-590.12
2025-05-01 14:25:00,-794.07
2025-05-01 14:30:00,-442.07
2025-05-01 14:35:00,-442.11
2025-05-01 14:40:00,-670.13
2025-05-01 14:45:00,-746.13
2025-05-01 14:50:00,-782.1
2025-05-01 14:55:00,-894.07
2025-05-01 15:00:00,-946.08
2025-05-01 15:05:00,-1150.09
2025-05-01 15:10:00,-1138.11
2025-05-01 15:15:00,-1066.08
2025-05-01 15:20:00,-942.11
2025-05-01 15:25:00,-1050.05
2025-05-01 15:30:00,-1094.12
2025-05-01 15:35:00,-1162.08
2025-05-01 15:40:00,-882.08
2025-05-01 15:45:00,-790.12
2025-05-01 15:50:00,-922.09
2025-05-01 15:55:00,-910.1
2025-05-01 16:00:00,-894.05
2025-05-01 16:05:00,-834.07
2025-05-01 16:10:00,-806.06
2025-05-01 16:15:00,-778.12
2025-05-01 16:20:00,-802.12
2025-05-01 16:25:00,-794.08
2025-05-01 16:30:00,-766.12
2025-05-01 16:35:00,-746.06
2025-05-01 16:40:00,-1026.07
2025-05-01 16:45:00,-782.08
2025-05-01 16:50:00,-858.08
2025-05-01 16:55:00,-878.08
2025-05-01 17:00:00,-914.11
2025-05-01 17:05:00,-874.1
2025-05-01 17:10:00,-834.07
2025-05-01 17:15:00,-1010.09
2025-05-01 17:20:00,-922.07
2025-05-01 17:25:00,-990.1
2025-05-01 17:30:00,-726.1
2025-05-01 17:35:00,-838.12
2025-05-01 17:40:00,-782.08
2025-05-01 17:45:00,-842.07
2025-05-01 17:50:00,-850.09
2025-05-01 17:55:00,-798.11
2025-05-01 18:00:00,9000.0
2025-05-01 18:05:00,9000.0
2025-05-01 18:10:00,9000.0
2025-05-01 18:15:00,9000.0
2025-05-01 18:20:00,9000.0
2025-05-01 18:25:00,8999.996
2025-05-01 18:30:00,2938.935
2025-05-01 18:35:00,0.0
2025-05-01 18:40:00,0.0
2025-05-01 18:45:00,0.0
2025-05-01 18:50:00,0.0
2025-05-01 18:55:00,0.0
2025-05-01 19:00:00,0.0
2025-05-01 19:05:00,0.0
2025-05-01 19:10:00,0.0
2025-05-01 19:15:00,0.0
2025-05-01 19:20:00,0.0
2025-05-01 19:25:00,0.0
2025-05-01 19:30:00,0.0
2025-05-01 19:35:00,0.0
2025-05-01 19:40:00,0.0
2025-05-01 19:45:00,0.0
2025-05-01 19:50:00,0.0
2025-05-01 19:55:00,0.0
2025-05-01 20:00:00,0.0
2025-05-01 20:05:00,0.0
2025-05-01 20:10:00,0.0
2025-05-01 20:15:00,0.0
2025-05-01 20:20:00,0.0
2025-05-01 20:25:00,0.0
2025-05-01 20:30:00,0.0
2025-05-01 20:35:00,0.0
2025-05-01 20:40:00,0.0
2025-05-01 20:45:00,0.0
2025-05-01 20:50:00,0.0
2025-05-01 20:55:00,0.0
2025-05-01 21:00:00,0.0
2025-05-01 21:05:00,0.0
2025-05-01 21:10:00,0.0
2025-05-01 21:15:00,0.0
2025-05-01 21:20:00,0.0
2025-05-01 21:25:00,0.0
2025-05-01 21:30:00,0.0
2025-05-01 21:35:00,0.0
2025-05-01 21:40:00,0.0
2025-05-01 21:45:00,0.0
2025-05-01 21:50:00,0.0
2025-05-01 21:55:00,0.0
2025-05-01 22:00:00,-554.621
2025-05-01 22:05:00,-802.651
2025-05-01 22:10:00,-518.661
2025-05-01 22:15:00,-450.641
2025-05-01 22:20:00,-550.651
2025-05-01 22:25:00,-746.681
2025-05-01 22:30:00,-538.641
2025-05-01 22:35:00,-486.601
2025-05-01 22:40:00,-626.651
2025-05-01 22:45:00,-566.611
2025-05-01 22:50:00,-622.631
2025-05-01 22:55:00,-710.691
2025-05-01 23:00:00,-890.641
2025-05-01 23:05:00,-606.611
2025-05-01 23:10:00,-670.621
2025-05-01 23:15:00,-682.681
2025-05-01 23:20:00,-614.621
2025-05-01 23:25:00,-606.651
2025-05-01 23:30:00,-794.621
2025-05-01 23:35:00,-442.631
2025-05-01 23:40:00,-530.621
2025-05-01 23:45:00,-754.631
2025-05-01 23:50:00,-1018.661
2025-05-01 23:55:00,-694.681
2025-05-02 00:00:00,-570.611
2025-05-02 00:05:00,-522.671
2025-05-02 00:10:00,-550.641
2025-05-02 00:15:00,-478.651
2025-05-02 00:20:00,-502.641
2025-05-02 00:25:00,-486.661
2025-05-02 00:30:00,-462.681
2025-05-02 00:35:00,-394.631
2025-05-02 00:40:00,-486.641
2025-05-02 00:45:00,-578.651
2025-05-02 00:50:00,-446.651
2025-05-02 00:55:00,-538.661
2025-05-02 01:00:00,-514.621
2025-05-02 01:05:00,-482.651
2025-05-02 01:10:00,-454.621
2025-05-02 01:15:00,-602.661
2025-05-02 01:20:00,-482.661
2025-05-02 01:25:00,-434.661
2025-05-02 01:30:00,-742.671
2025-05-02 01:35:00,-570.641
2025-05-02 01:40:00,-658.651
2025-05-02 01:45:00,-754.661
2025-05-02 01:50:00,-822.651
2025-05-02 01:55:00,-530.631
2025-05-02 02:00:00,-558.671
2025-05-02 02:05:00,-582.671
2025-05-02 02:10:00,-526.641
2025-05-02 02:15:00,-598.661
2025-05-02 02:20:00,-734.641
2025-05-02 02:25:00,-866.621
2025-05-02 02:30:00,-1098.661
2025-05-02 02:35:00,-574.621
2025-05-02 02:40:00,-534.661
2025-05-02 02:45:00,-602.651
2025-05-02 02:50:00,-610.651
2025-05-02 02:55:00,-598.641
2025-05-02 03:00:00,-538.651
2025-05-02 03:05:00,-538.681
2025-05-02 03:10:00,-630.661
2025-05-02 03:15:00,-582.661
2025-05-02 03:20:00,-538.671
2025-05-02 03:25:00,-490.671
2025-05-02 03:30:00,-570.651
2025-05-02 03:35:00,-522.621
2025-05-02 03:40:00,-566.641
2025-05-02 03:45:00,-770.661
2025-05-02 03:50:00,-622.651
2025-05-02 03:55:00,-622.671
2025-05-02 04:00:00,-530.651
2025-05-02 04:05:00,-730.641
2025-05-02 04:10:00,-638.641
2025-05-02 04:15:00,-490.671
2025-05-02 04:20:00,-618.601
2025-05-02 04:25:00,-578.641
2025-05-02 04:30:00,-850.661
2025-05-02 04:35:00,-722.651
2025-05-02 04:40:00,-610.631
2025-05-02 04:45:00,-570.661
2025-05-02 04:50:00,-566.651
2025-05-02 04:55:00,-542.651
2025-05-02 05:00:00,-762.631
2025-05-02 05:05:00,-654.651
2025-05-02 05:10:00,-506.651
2025-05-02 05:15:00,-622.651
2025-05-02 05:20:00,-654.631
2025-05-02 05:25:00,-590.681
2025-05-02 05:30:00,-510.651
2025-05-02 05:35:00,-670.601
2025-05-02 05:40:00,-478.601
2025-05-02 05:45:00,-842.641
2025-05-02 05:50:00,-998.631
2025-05-02 05:55:00,-766.661
2025-05-02 06:00:00,-866.641
2025-05-02 06:05:00,-654.671
2025-05-02 06:10:00,-794.611
2025-05-02 06:15:00,-726.631
2025-05-02 06:20:00,-738.651
2025-05-02 06:25:00,-662.671
2025-05-02 06:30:00,-658.611
2025-05-02 06:35:00,-754.651
2025-05-02 06:40:00,-790.661
2025-05-02 06:45:00,-830.621
2025-05-02 06:50:00,-750.691
2025-05-02 06:55:00,-714.601
2025-05-02 07:00:00,-834.641
2025-05-02 07:05:00,-718.691
2025-05-02 07:10:00,-782.641
2025-05-02 07:15:00,-758.631
2025-05-02 07:20:00,-762.661
2025-05-02 07:25:00,-850.661
2025-05-02 07:30:00,-850.611
2025-05-02 07:35:00,-750.651
2025-05-02 07:40:00,-870.651
2025-05-02 07:45:00,-798.651
2025-05-02 07:50:00,-794.681
2025-05-02 07:55:00,-754.641
2025-05-02 08:00:00,9000.0
2025-05-02 08:05:00,9000.0
2025-05-02 08:10:00,9000.0
2025-05-02 08:15:00,9000.0
2025-05-02 08:20:00,9000.0
2025-05-02 08:25:00,9000.0
2025-05-02 08:30:00,9000.0
2025-05-02 08:35:00,4666.475
2025-05-02 08:40:00,0.0
2025-05-02 08:45:00,0.0
2025-05-02 08:50:00,0.0
2025-05-02 08:55:00,0.0
2025-05-02 09:00:00,0.0
2025-05-02 09:05:00,0.0
2025-05-02 09:10:00,0.0
2025-05-02 09:15:00,0.0
2025-05-02 09:20:00,0.0
2025-05-02 09:25:00,0.0
2025-05-02 09:30:00,0.0
