,power_opt,time
2025-05-01 00:00:00,-1295.942,2025-05-01 00:00:00
2025-05-01 00:05:00,-1235.952,2025-05-01 00:05:00
2025-05-01 00:10:00,-1291.922,2025-05-01 00:10:00
2025-05-01 00:15:00,-1263.942,2025-05-01 00:15:00
2025-05-01 00:20:00,-1231.942,2025-05-01 00:20:00
2025-05-01 00:25:00,-1263.952,2025-05-01 00:25:00
2025-05-01 00:30:00,-1287.942,2025-05-01 00:30:00
2025-05-01 00:35:00,-1355.942,2025-05-01 00:35:00
2025-05-01 00:40:00,-1247.892,2025-05-01 00:40:00
2025-05-01 00:45:00,-1363.932,2025-05-01 00:45:00
2025-05-01 00:50:00,-1343.942,2025-05-01 00:50:00
2025-05-01 00:55:00,-1359.912,2025-05-01 00:55:00
2025-05-01 01:00:00,-1287.922,2025-05-01 01:00:00
2025-05-01 01:05:00,-1339.892,2025-05-01 01:05:00
2025-05-01 01:10:00,-1271.912,2025-05-01 01:10:00
2025-05-01 01:15:00,-1243.932,2025-05-01 01:15:00
2025-05-01 01:20:00,-1351.902,2025-05-01 01:20:00
2025-05-01 01:25:00,-1319.932,2025-05-01 01:25:00
2025-05-01 01:30:00,-1307.912,2025-05-01 01:30:00
2025-05-01 01:35:00,-1355.912,2025-05-01 01:35:00
2025-05-01 01:40:00,-1311.902,2025-05-01 01:40:00
2025-05-01 01:45:00,-1343.952,2025-05-01 01:45:00
2025-05-01 01:50:00,-1403.942,2025-05-01 01:50:00
2025-05-01 01:55:00,-1343.922,2025-05-01 01:55:00
2025-05-01 02:00:00,-1431.912,2025-05-01 02:00:00
2025-05-01 02:05:00,-1411.922,2025-05-01 02:05:00
2025-05-01 02:10:00,-1503.932,2025-05-01 02:10:00
2025-05-01 02:15:00,-1403.912,2025-05-01 02:15:00
2025-05-01 02:20:00,-1431.892,2025-05-01 02:20:00
2025-05-01 02:25:00,-1395.942,2025-05-01 02:25:00
2025-05-01 02:30:00,-1451.922,2025-05-01 02:30:00
2025-05-01 02:35:00,-1535.912,2025-05-01 02:35:00
2025-05-01 02:40:00,-1579.942,2025-05-01 02:40:00
2025-05-01 02:45:00,-1463.892,2025-05-01 02:45:00
2025-05-01 02:50:00,-1347.922,2025-05-01 02:50:00
2025-05-01 02:55:00,-1327.922,2025-05-01 02:55:00
2025-05-01 03:00:00,-1271.942,2025-05-01 03:00:00
2025-05-01 03:05:00,-1363.932,2025-05-01 03:05:00
2025-05-01 03:10:00,-1211.972,2025-05-01 03:10:00
2025-05-01 03:15:00,-1287.952,2025-05-01 03:15:00
2025-05-01 03:20:00,-1355.892,2025-05-01 03:20:00
2025-05-01 03:25:00,-1275.922,2025-05-01 03:25:00
2025-05-01 03:30:00,-1303.952,2025-05-01 03:30:00
2025-05-01 03:35:00,-1375.932,2025-05-01 03:35:00
2025-05-01 03:40:00,-1315.942,2025-05-01 03:40:00
2025-05-01 03:45:00,-1307.952,2025-05-01 03:45:00
2025-05-01 03:50:00,-1331.942,2025-05-01 03:50:00
2025-05-01 03:55:00,-1311.932,2025-05-01 03:55:00
2025-05-01 04:00:00,-1315.942,2025-05-01 04:00:00
2025-05-01 04:05:00,-1351.932,2025-05-01 04:05:00
2025-05-01 04:10:00,-1347.932,2025-05-01 04:10:00
2025-05-01 04:15:00,-1575.932,2025-05-01 04:15:00
2025-05-01 04:20:00,-1611.932,2025-05-01 04:20:00
2025-05-01 04:25:00,-1359.912,2025-05-01 04:25:00
2025-05-01 04:30:00,-1335.922,2025-05-01 04:30:00
2025-05-01 04:35:00,-1295.952,2025-05-01 04:35:00
2025-05-01 04:40:00,-1339.952,2025-05-01 04:40:00
2025-05-01 04:45:00,-1327.872,2025-05-01 04:45:00
2025-05-01 04:50:00,-1319.922,2025-05-01 04:50:00
2025-05-01 04:55:00,-1415.912,2025-05-01 04:55:00
2025-05-01 05:00:00,-1327.962,2025-05-01 05:00:00
2025-05-01 05:05:00,-1311.912,2025-05-01 05:05:00
2025-05-01 05:10:00,-1275.922,2025-05-01 05:10:00
2025-05-01 05:15:00,-1339.952,2025-05-01 05:15:00
2025-05-01 05:20:00,-1371.932,2025-05-01 05:20:00
2025-05-01 05:25:00,-1351.942,2025-05-01 05:25:00
2025-05-01 05:30:00,-1351.912,2025-05-01 05:30:00
2025-05-01 05:35:00,-1387.952,2025-05-01 05:35:00
2025-05-01 05:40:00,-1495.912,2025-05-01 05:40:00
2025-05-01 05:45:00,-1423.912,2025-05-01 05:45:00
2025-05-01 05:50:00,-1471.922,2025-05-01 05:50:00
2025-05-01 05:55:00,-1415.912,2025-05-01 05:55:00
2025-05-01 06:00:00,-1443.892,2025-05-01 06:00:00
2025-05-01 06:05:00,-1539.942,2025-05-01 06:05:00
2025-05-01 06:10:00,-1455.932,2025-05-01 06:10:00
2025-05-01 06:15:00,-1455.932,2025-05-01 06:15:00
2025-05-01 06:20:00,-1531.912,2025-05-01 06:20:00
2025-05-01 06:25:00,-1451.892,2025-05-01 06:25:00
2025-05-01 06:30:00,-1543.912,2025-05-01 06:30:00
2025-05-01 06:35:00,-1635.932,2025-05-01 06:35:00
2025-05-01 06:40:00,-1591.912,2025-05-01 06:40:00
2025-05-01 06:45:00,-1571.932,2025-05-01 06:45:00
2025-05-01 06:50:00,-1591.942,2025-05-01 06:50:00
2025-05-01 06:55:00,-1651.932,2025-05-01 06:55:00
2025-05-01 07:00:00,-1587.962,2025-05-01 07:00:00
2025-05-01 07:05:00,-1623.962,2025-05-01 07:05:00
2025-05-01 07:10:00,-1515.922,2025-05-01 07:10:00
2025-05-01 07:15:00,-1571.922,2025-05-01 07:15:00
2025-05-01 07:20:00,-1635.902,2025-05-01 07:20:00
2025-05-01 07:25:00,-1587.922,2025-05-01 07:25:00
2025-05-01 07:30:00,-1655.932,2025-05-01 07:30:00
2025-05-01 07:35:00,-1587.922,2025-05-01 07:35:00
2025-05-01 07:40:00,-1619.902,2025-05-01 07:40:00
2025-05-01 07:45:00,-1535.902,2025-05-01 07:45:00
2025-05-01 07:50:00,-1691.912,2025-05-01 07:50:00
2025-05-01 07:55:00,-1675.962,2025-05-01 07:55:00
2025-05-01 08:00:00,9000.0,2025-05-01 08:00:00
2025-05-01 08:05:00,9000.0,2025-05-01 08:05:00
2025-05-01 08:10:00,9000.0,2025-05-01 08:10:00
2025-05-01 08:15:00,9000.0,2025-05-01 08:15:00
2025-05-01 08:20:00,9000.0,2025-05-01 08:20:00
2025-05-01 08:25:00,9000.0,2025-05-01 08:25:00
2025-05-01 08:30:00,9000.0,2025-05-01 08:30:00
2025-05-01 08:35:00,9000.0,2025-05-01 08:35:00
2025-05-01 08:40:00,9000.0,2025-05-01 08:40:00
2025-05-01 08:45:00,9000.0,2025-05-01 08:45:00
2025-05-01 08:50:00,9000.0,2025-05-01 08:50:00
2025-05-01 08:55:00,9000.0,2025-05-01 08:55:00
2025-05-01 09:00:00,9000.0,2025-05-01 09:00:00
2025-05-01 09:05:00,9000.0,2025-05-01 09:05:00
2025-05-01 09:10:00,9000.0,2025-05-01 09:10:00
2025-05-01 09:15:00,9000.0,2025-05-01 09:15:00
2025-05-01 09:20:00,9000.0,2025-05-01 09:20:00
2025-05-01 09:25:00,9000.0,2025-05-01 09:25:00
2025-05-01 09:30:00,8999.998,2025-05-01 09:30:00
2025-05-01 09:35:00,2962.196,2025-05-01 09:35:00
2025-05-01 09:40:00,0.0,2025-05-01 09:40:00
2025-05-01 09:45:00,0.0,2025-05-01 09:45:00
2025-05-01 09:50:00,0.0,2025-05-01 09:50:00
2025-05-01 09:55:00,0.0,2025-05-01 09:55:00
2025-05-01 10:00:00,0.0,2025-05-01 10:00:00
2025-05-01 10:05:00,0.0,2025-05-01 10:05:00
2025-05-01 10:10:00,0.0,2025-05-01 10:10:00
2025-05-01 10:15:00,0.0,2025-05-01 10:15:00
2025-05-01 10:20:00,0.0,2025-05-01 10:20:00
2025-05-01 10:25:00,0.0,2025-05-01 10:25:00
2025-05-01 10:30:00,0.0,2025-05-01 10:30:00
2025-05-01 10:35:00,0.0,2025-05-01 10:35:00
2025-05-01 10:40:00,0.0,2025-05-01 10:40:00
2025-05-01 10:45:00,0.0,2025-05-01 10:45:00
2025-05-01 10:50:00,0.0,2025-05-01 10:50:00
2025-05-01 10:55:00,0.0,2025-05-01 10:55:00
2025-05-01 11:00:00,-1591.922,2025-05-01 11:00:00
2025-05-01 11:05:00,-1639.892,2025-05-01 11:05:00
2025-05-01 11:10:00,-1507.882,2025-05-01 11:10:00
2025-05-01 11:15:00,-1615.902,2025-05-01 11:15:00
2025-05-01 11:20:00,-1519.932,2025-05-01 11:20:00
2025-05-01 11:25:00,-1575.932,2025-05-01 11:25:00
2025-05-01 11:30:00,-1611.942,2025-05-01 11:30:00
2025-05-01 11:35:00,-1547.952,2025-05-01 11:35:00
2025-05-01 11:40:00,-1567.912,2025-05-01 11:40:00
2025-05-01 11:45:00,-1663.932,2025-05-01 11:45:00
2025-05-01 11:50:00,-1627.912,2025-05-01 11:50:00
2025-05-01 11:55:00,-1659.872,2025-05-01 11:55:00
2025-05-01 12:00:00,-1503.912,2025-05-01 12:00:00
2025-05-01 12:05:00,-1555.952,2025-05-01 12:05:00
2025-05-01 12:10:00,-1475.942,2025-05-01 12:10:00
2025-05-01 12:15:00,-1415.902,2025-05-01 12:15:00
2025-05-01 12:20:00,-1535.902,2025-05-01 12:20:00
2025-05-01 12:25:00,-1567.962,2025-05-01 12:25:00
2025-05-01 12:30:00,-1563.912,2025-05-01 12:30:00
2025-05-01 12:35:00,-1539.922,2025-05-01 12:35:00
2025-05-01 12:40:00,-1335.942,2025-05-01 12:40:00
2025-05-01 12:45:00,-1223.902,2025-05-01 12:45:00
2025-05-01 12:50:00,-1203.902,2025-05-01 12:50:00
2025-05-01 12:55:00,-1143.912,2025-05-01 12:55:00
2025-05-01 13:00:00,-1039.902,2025-05-01 13:00:00
2025-05-01 13:05:00,-1023.942,2025-05-01 13:05:00
2025-05-01 13:10:00,-1107.902,2025-05-01 13:10:00
2025-05-01 13:15:00,-1023.952,2025-05-01 13:15:00
2025-05-01 13:20:00,-1051.922,2025-05-01 13:20:00
2025-05-01 13:25:00,-1251.912,2025-05-01 13:25:00
2025-05-01 13:30:00,-1131.912,2025-05-01 13:30:00
2025-05-01 13:35:00,-1147.932,2025-05-01 13:35:00
2025-05-01 13:40:00,-1231.922,2025-05-01 13:40:00
2025-05-01 13:45:00,-1183.942,2025-05-01 13:45:00
2025-05-01 13:50:00,-1135.932,2025-05-01 13:50:00
2025-05-01 13:55:00,-1311.902,2025-05-01 13:55:00
2025-05-01 14:00:00,-1251.932,2025-05-01 14:00:00
2025-05-01 14:05:00,-1275.922,2025-05-01 14:05:00
2025-05-01 14:10:00,-1343.912,2025-05-01 14:10:00
2025-05-01 14:15:00,-1107.912,2025-05-01 14:15:00
2025-05-01 14:20:00,-1275.952,2025-05-01 14:20:00
2025-05-01 14:25:00,-1479.902,2025-05-01 14:25:00
2025-05-01 14:30:00,-1127.902,2025-05-01 14:30:00
2025-05-01 14:35:00,-1127.942,2025-05-01 14:35:00
2025-05-01 14:40:00,-1355.962,2025-05-01 14:40:00
2025-05-01 14:45:00,-1431.962,2025-05-01 14:45:00
2025-05-01 14:50:00,-1467.932,2025-05-01 14:50:00
2025-05-01 14:55:00,-1579.902,2025-05-01 14:55:00
2025-05-01 15:00:00,-1631.912,2025-05-01 15:00:00
2025-05-01 15:05:00,-1835.922,2025-05-01 15:05:00
2025-05-01 15:10:00,-1823.942,2025-05-01 15:10:00
2025-05-01 15:15:00,-1751.912,2025-05-01 15:15:00
2025-05-01 15:20:00,-1627.942,2025-05-01 15:20:00
2025-05-01 15:25:00,-1735.882,2025-05-01 15:25:00
2025-05-01 15:30:00,-1779.952,2025-05-01 15:30:00
2025-05-01 15:35:00,-1847.912,2025-05-01 15:35:00
2025-05-01 15:40:00,-1567.912,2025-05-01 15:40:00
2025-05-01 15:45:00,-1475.952,2025-05-01 15:45:00
2025-05-01 15:50:00,-1607.922,2025-05-01 15:50:00
2025-05-01 15:55:00,-1595.932,2025-05-01 15:55:00
2025-05-01 16:00:00,-1579.882,2025-05-01 16:00:00
2025-05-01 16:05:00,-1519.902,2025-05-01 16:05:00
2025-05-01 16:10:00,-1491.892,2025-05-01 16:10:00
2025-05-01 16:15:00,-1463.952,2025-05-01 16:15:00
2025-05-01 16:20:00,-1487.952,2025-05-01 16:20:00
2025-05-01 16:25:00,-1479.912,2025-05-01 16:25:00
2025-05-01 16:30:00,-1451.952,2025-05-01 16:30:00
2025-05-01 16:35:00,-1431.892,2025-05-01 16:35:00
2025-05-01 16:40:00,-1711.902,2025-05-01 16:40:00
2025-05-01 16:45:00,-1467.912,2025-05-01 16:45:00
2025-05-01 16:50:00,-1543.912,2025-05-01 16:50:00
2025-05-01 16:55:00,-1563.912,2025-05-01 16:55:00
