,time,power_opt
24,2025-05-01 00:00:00,-384.703
25,2025-05-01 00:05:00,-324.713
26,2025-05-01 00:10:00,-380.683
27,2025-05-01 00:15:00,-352.703
28,2025-05-01 00:20:00,-320.703
29,2025-05-01 00:25:00,-352.713
30,2025-05-01 00:30:00,-376.703
31,2025-05-01 00:35:00,-444.703
32,2025-05-01 00:40:00,-336.653
33,2025-05-01 00:45:00,-452.693
34,2025-05-01 00:50:00,-432.703
35,2025-05-01 00:55:00,-448.673
36,2025-05-01 01:00:00,-376.683
37,2025-05-01 01:05:00,-428.653
38,2025-05-01 01:10:00,-360.673
39,2025-05-01 01:15:00,-332.693
40,2025-05-01 01:20:00,-440.663
41,2025-05-01 01:25:00,-408.693
42,2025-05-01 01:30:00,-396.673
43,2025-05-01 01:35:00,-444.673
44,2025-05-01 01:40:00,-400.663
45,2025-05-01 01:45:00,-432.713
46,2025-05-01 01:50:00,-492.703
47,2025-05-01 01:55:00,-432.683
48,2025-05-01 02:00:00,-520.673
49,2025-05-01 02:05:00,-500.683
50,2025-05-01 02:10:00,-592.693
51,2025-05-01 02:15:00,-492.673
52,2025-05-01 02:20:00,-520.653
53,2025-05-01 02:25:00,-484.703
54,2025-05-01 02:30:00,-540.683
55,2025-05-01 02:35:00,-624.673
56,2025-05-01 02:40:00,-668.703
57,2025-05-01 02:45:00,-552.653
58,2025-05-01 02:50:00,-436.683
59,2025-05-01 02:55:00,-416.683
60,2025-05-01 03:00:00,-360.703
61,2025-05-01 03:05:00,-452.693
62,2025-05-01 03:10:00,-300.733
63,2025-05-01 03:15:00,-376.713
64,2025-05-01 03:20:00,-444.653
65,2025-05-01 03:25:00,-364.683
66,2025-05-01 03:30:00,-392.713
67,2025-05-01 03:35:00,-464.693
68,2025-05-01 03:40:00,-404.703
69,2025-05-01 03:45:00,-396.713
70,2025-05-01 03:50:00,-420.703
71,2025-05-01 03:55:00,-400.693
72,2025-05-01 04:00:00,-404.703
73,2025-05-01 04:05:00,-440.693
74,2025-05-01 04:10:00,-436.693
75,2025-05-01 04:15:00,-664.693
76,2025-05-01 04:20:00,-700.693
77,2025-05-01 04:25:00,-448.673
78,2025-05-01 04:30:00,-424.683
79,2025-05-01 04:35:00,-384.713
80,2025-05-01 04:40:00,-428.713
81,2025-05-01 04:45:00,-416.633
82,2025-05-01 04:50:00,-408.683
83,2025-05-01 04:55:00,-504.673
84,2025-05-01 05:00:00,-416.723
85,2025-05-01 05:05:00,-400.673
86,2025-05-01 05:10:00,-364.683
87,2025-05-01 05:15:00,-428.713
88,2025-05-01 05:20:00,-460.693
89,2025-05-01 05:25:00,-440.703
90,2025-05-01 05:30:00,-440.673
91,2025-05-01 05:35:00,-476.713
92,2025-05-01 05:40:00,-584.673
93,2025-05-01 05:45:00,-512.673
94,2025-05-01 05:50:00,-560.683
95,2025-05-01 05:55:00,-504.673
96,2025-05-01 06:00:00,-532.653
97,2025-05-01 06:05:00,-628.703
98,2025-05-01 06:10:00,-544.693
99,2025-05-01 06:15:00,-544.693
100,2025-05-01 06:20:00,-620.673
101,2025-05-01 06:25:00,-540.653
102,2025-05-01 06:30:00,-632.673
103,2025-05-01 06:35:00,-724.693
104,2025-05-01 06:40:00,-680.673
105,2025-05-01 06:45:00,-660.693
106,2025-05-01 06:50:00,-680.703
107,2025-05-01 06:55:00,-740.693
108,2025-05-01 07:00:00,-676.723
109,2025-05-01 07:05:00,-712.723
110,2025-05-01 07:10:00,-604.683
111,2025-05-01 07:15:00,-660.683
112,2025-05-01 07:20:00,-724.663
113,2025-05-01 07:25:00,-676.683
114,2025-05-01 07:30:00,-744.693
115,2025-05-01 07:35:00,-676.683
116,2025-05-01 07:40:00,-708.663
117,2025-05-01 07:45:00,-624.663
118,2025-05-01 07:50:00,-780.673
119,2025-05-01 07:55:00,-764.723
120,2025-05-01 08:00:00,9000.0
121,2025-05-01 08:05:00,9000.0
122,2025-05-01 08:10:00,9000.0
123,2025-05-01 08:15:00,9000.0
124,2025-05-01 08:20:00,9000.0
125,2025-05-01 08:25:00,9000.0
126,2025-05-01 08:30:00,9000.0
127,2025-05-01 08:35:00,8999.998
128,2025-05-01 08:40:00,6391.448
129,2025-05-01 08:45:00,0.0
130,2025-05-01 08:50:00,0.0
131,2025-05-01 08:55:00,0.0
132,2025-05-01 09:00:00,0.0
133,2025-05-01 09:05:00,0.0
134,2025-05-01 09:10:00,0.0
135,2025-05-01 09:15:00,0.0
136,2025-05-01 09:20:00,0.0
137,2025-05-01 09:25:00,0.0
138,2025-05-01 09:30:00,0.0
139,2025-05-01 09:35:00,0.0
140,2025-05-01 09:40:00,0.0
141,2025-05-01 09:45:00,0.0
142,2025-05-01 09:50:00,0.0
143,2025-05-01 09:55:00,0.0
144,2025-05-01 10:00:00,0.0
145,2025-05-01 10:05:00,0.0
146,2025-05-01 10:10:00,0.0
147,2025-05-01 10:15:00,0.0
148,2025-05-01 10:20:00,0.0
149,2025-05-01 10:25:00,0.0
150,2025-05-01 10:30:00,0.0
151,2025-05-01 10:35:00,0.0
152,2025-05-01 10:40:00,0.0
153,2025-05-01 10:45:00,0.0
154,2025-05-01 10:50:00,0.0
155,2025-05-01 10:55:00,0.0
156,2025-05-01 11:00:00,-680.683
157,2025-05-01 11:05:00,-728.653
158,2025-05-01 11:10:00,-596.643
159,2025-05-01 11:15:00,-704.663
160,2025-05-01 11:20:00,-608.693
161,2025-05-01 11:25:00,-664.693
162,2025-05-01 11:30:00,-700.703
163,2025-05-01 11:35:00,-636.713
164,2025-05-01 11:40:00,-656.673
165,2025-05-01 11:45:00,-752.693
166,2025-05-01 11:50:00,-716.673
167,2025-05-01 11:55:00,-748.633
168,2025-05-01 12:00:00,-592.673
169,2025-05-01 12:05:00,-644.713
170,2025-05-01 12:10:00,-564.703
171,2025-05-01 12:15:00,-504.663
172,2025-05-01 12:20:00,-624.663
173,2025-05-01 12:25:00,-656.723
174,2025-05-01 12:30:00,-652.673
175,2025-05-01 12:35:00,-628.683
176,2025-05-01 12:40:00,-424.703
177,2025-05-01 12:45:00,-312.663
178,2025-05-01 12:50:00,-292.663
179,2025-05-01 12:55:00,-232.673
180,2025-05-01 13:00:00,-128.663
181,2025-05-01 13:05:00,-112.703
182,2025-05-01 13:10:00,-196.663
183,2025-05-01 13:15:00,-112.713
184,2025-05-01 13:20:00,-140.683
185,2025-05-01 13:25:00,-340.673
186,2025-05-01 13:30:00,-220.673
187,2025-05-01 13:35:00,-236.693
188,2025-05-01 13:40:00,-320.683
189,2025-05-01 13:45:00,-272.703
190,2025-05-01 13:50:00,-224.693
191,2025-05-01 13:55:00,-400.663
192,2025-05-01 14:00:00,-340.693
193,2025-05-01 14:05:00,-364.683
194,2025-05-01 14:10:00,-432.673
195,2025-05-01 14:15:00,-196.673
196,2025-05-01 14:20:00,-364.713
197,2025-05-01 14:25:00,-568.663
198,2025-05-01 14:30:00,-216.663
199,2025-05-01 14:35:00,-216.703
200,2025-05-01 14:40:00,-444.723
201,2025-05-01 14:45:00,-520.723
202,2025-05-01 14:50:00,-556.693
203,2025-05-01 14:55:00,-668.663
204,2025-05-01 15:00:00,-720.673
205,2025-05-01 15:05:00,-924.683
206,2025-05-01 15:10:00,-912.703
207,2025-05-01 15:15:00,-840.673
208,2025-05-01 15:20:00,-716.703
209,2025-05-01 15:25:00,-824.643
210,2025-05-01 15:30:00,-868.713
211,2025-05-01 15:35:00,-936.673
212,2025-05-01 15:40:00,-656.673
213,2025-05-01 15:45:00,-564.713
214,2025-05-01 15:50:00,-696.683
215,2025-05-01 15:55:00,-684.693
216,2025-05-01 16:00:00,-668.643
217,2025-05-01 16:05:00,-608.663
218,2025-05-01 16:10:00,-580.653
219,2025-05-01 16:15:00,-552.713
220,2025-05-01 16:20:00,-576.713
221,2025-05-01 16:25:00,-568.673
222,2025-05-01 16:30:00,-540.713
223,2025-05-01 16:35:00,-520.653
224,2025-05-01 16:40:00,-800.663
225,2025-05-01 16:45:00,-556.673
226,2025-05-01 16:50:00,-632.673
227,2025-05-01 16:55:00,-652.673
228,2025-05-01 17:00:00,-688.703
229,2025-05-01 17:05:00,-648.693
230,2025-05-01 17:10:00,-608.663
231,2025-05-01 17:15:00,-784.683
232,2025-05-01 17:20:00,-696.663
233,2025-05-01 17:25:00,-764.693
234,2025-05-01 17:30:00,-500.693
235,2025-05-01 17:35:00,-612.713
236,2025-05-01 17:40:00,-556.673
237,2025-05-01 17:45:00,-616.663
238,2025-05-01 17:50:00,-624.683
239,2025-05-01 17:55:00,-572.703
240,2025-05-01 18:00:00,9000.0
241,2025-05-01 18:05:00,9000.0
242,2025-05-01 18:10:00,9000.0
243,2025-05-01 18:15:00,9000.0
244,2025-05-01 18:20:00,4390.48
245,2025-05-01 18:25:00,0.0
246,2025-05-01 18:30:00,0.0
247,2025-05-01 18:35:00,0.0
248,2025-05-01 18:40:00,0.0
249,2025-05-01 18:45:00,0.0
250,2025-05-01 18:50:00,0.0
251,2025-05-01 18:55:00,0.0
252,2025-05-01 19:00:00,0.0
253,2025-05-01 19:05:00,0.0
254,2025-05-01 19:10:00,0.0
255,2025-05-01 19:15:00,0.0
256,2025-05-01 19:20:00,0.0
257,2025-05-01 19:25:00,0.0
258,2025-05-01 19:30:00,0.0
259,2025-05-01 19:35:00,0.0
260,2025-05-01 19:40:00,0.0
261,2025-05-01 19:45:00,0.0
262,2025-05-01 19:50:00,0.0
263,2025-05-01 19:55:00,0.0
264,2025-05-01 20:00:00,0.0
265,2025-05-01 20:05:00,0.0
266,2025-05-01 20:10:00,0.0
267,2025-05-01 20:15:00,0.0
268,2025-05-01 20:20:00,0.0
269,2025-05-01 20:25:00,0.0
270,2025-05-01 20:30:00,0.0
271,2025-05-01 20:35:00,0.0
272,2025-05-01 20:40:00,0.0
273,2025-05-01 20:45:00,0.0
274,2025-05-01 20:50:00,0.0
275,2025-05-01 20:55:00,0.0
276,2025-05-01 21:00:00,0.0
277,2025-05-01 21:05:00,0.0
278,2025-05-01 21:10:00,0.0
279,2025-05-01 21:15:00,0.0
280,2025-05-01 21:20:00,0.0
281,2025-05-01 21:25:00,0.0
282,2025-05-01 21:30:00,0.0
283,2025-05-01 21:35:00,0.0
284,2025-05-01 21:40:00,0.0
285,2025-05-01 21:45:00,0.0
286,2025-05-01 21:50:00,0.0
287,2025-05-01 21:55:00,0.0
288,2025-05-01 22:00:00,-331.534
289,2025-05-01 22:05:00,-579.564
290,2025-05-01 22:10:00,-295.574
291,2025-05-01 22:15:00,-227.554
292,2025-05-01 22:20:00,-327.564
293,2025-05-01 22:25:00,-523.594
294,2025-05-01 22:30:00,-315.554
295,2025-05-01 22:35:00,-263.514
296,2025-05-01 22:40:00,-403.564
297,2025-05-01 22:45:00,-343.524
298,2025-05-01 22:50:00,-399.544
299,2025-05-01 22:55:00,-487.604
300,2025-05-01 23:00:00,-667.554
301,2025-05-01 23:05:00,-383.524
302,2025-05-01 23:10:00,-447.534
303,2025-05-01 23:15:00,-459.594
304,2025-05-01 23:20:00,-391.534
305,2025-05-01 23:25:00,-383.564
306,2025-05-01 23:30:00,-571.534
307,2025-05-01 23:35:00,-219.544
308,2025-05-01 23:40:00,-307.534
309,2025-05-01 23:45:00,-531.544
310,2025-05-01 23:50:00,-795.574
311,2025-05-01 23:55:00,-471.594
312,2025-05-02 00:00:00,-347.524
313,2025-05-02 00:05:00,-299.584
314,2025-05-02 00:10:00,-327.554
315,2025-05-02 00:15:00,-255.564
316,2025-05-02 00:20:00,-279.554
317,2025-05-02 00:25:00,-263.574
318,2025-05-02 00:30:00,-239.594
319,2025-05-02 00:35:00,-171.544
320,2025-05-02 00:40:00,-263.554
321,2025-05-02 00:45:00,-355.564
322,2025-05-02 00:50:00,-223.564
323,2025-05-02 00:55:00,-315.574
324,2025-05-02 01:00:00,-291.534
325,2025-05-02 01:05:00,-259.564
326,2025-05-02 01:10:00,-231.534
327,2025-05-02 01:15:00,-379.574
328,2025-05-02 01:20:00,-259.574
329,2025-05-02 01:25:00,-211.574
330,2025-05-02 01:30:00,-519.584
331,2025-05-02 01:35:00,-347.554
332,2025-05-02 01:40:00,-435.564
333,2025-05-02 01:45:00,-531.574
334,2025-05-02 01:50:00,-599.564
335,2025-05-02 01:55:00,-307.544
336,2025-05-02 02:00:00,-335.584
337,2025-05-02 02:05:00,-359.584
338,2025-05-02 02:10:00,-303.554
339,2025-05-02 02:15:00,-375.574
340,2025-05-02 02:20:00,-511.554
341,2025-05-02 02:25:00,-643.534
342,2025-05-02 02:30:00,-875.574
343,2025-05-02 02:35:00,-351.534
344,2025-05-02 02:40:00,-311.574
345,2025-05-02 02:45:00,-379.564
346,2025-05-02 02:50:00,-387.564
347,2025-05-02 02:55:00,-375.554
348,2025-05-02 03:00:00,-315.564
349,2025-05-02 03:05:00,-315.594
350,2025-05-02 03:10:00,-407.574
351,2025-05-02 03:15:00,-359.574
352,2025-05-02 03:20:00,-315.584
353,2025-05-02 03:25:00,-267.584
354,2025-05-02 03:30:00,-347.564
355,2025-05-02 03:35:00,-299.534
356,2025-05-02 03:40:00,-343.554
357,2025-05-02 03:45:00,-547.574
358,2025-05-02 03:50:00,-399.564
359,2025-05-02 03:55:00,-399.584
360,2025-05-02 04:00:00,-307.564
361,2025-05-02 04:05:00,-507.554
362,2025-05-02 04:10:00,-415.554
363,2025-05-02 04:15:00,-267.584
364,2025-05-02 04:20:00,-395.514
365,2025-05-02 04:25:00,-355.554
366,2025-05-02 04:30:00,-627.574
367,2025-05-02 04:35:00,-499.564
368,2025-05-02 04:40:00,-387.544
369,2025-05-02 04:45:00,-347.574
370,2025-05-02 04:50:00,-343.564
371,2025-05-02 04:55:00,-319.564
372,2025-05-02 05:00:00,-539.544
373,2025-05-02 05:05:00,-431.564
374,2025-05-02 05:10:00,-283.564
375,2025-05-02 05:15:00,-399.564
376,2025-05-02 05:20:00,-431.544
377,2025-05-02 05:25:00,-367.594
378,2025-05-02 05:30:00,-287.564
379,2025-05-02 05:35:00,-447.514
380,2025-05-02 05:40:00,-255.514
381,2025-05-02 05:45:00,-619.554
382,2025-05-02 05:50:00,-775.544
383,2025-05-02 05:55:00,-543.574
384,2025-05-02 06:00:00,-643.554
385,2025-05-02 06:05:00,-431.584
386,2025-05-02 06:10:00,-571.524
387,2025-05-02 06:15:00,-503.544
388,2025-05-02 06:20:00,-515.564
389,2025-05-02 06:25:00,-439.584
390,2025-05-02 06:30:00,-435.524
391,2025-05-02 06:35:00,-531.564
392,2025-05-02 06:40:00,-567.574
393,2025-05-02 06:45:00,-607.534
394,2025-05-02 06:50:00,-527.604
395,2025-05-02 06:55:00,-491.514
396,2025-05-02 07:00:00,-611.554
397,2025-05-02 07:05:00,-495.604
398,2025-05-02 07:10:00,-559.554
399,2025-05-02 07:15:00,-535.544
400,2025-05-02 07:20:00,-539.574
401,2025-05-02 07:25:00,-627.574
402,2025-05-02 07:30:00,-627.524
403,2025-05-02 07:35:00,-527.564
404,2025-05-02 07:40:00,-647.564
405,2025-05-02 07:45:00,-575.564
406,2025-05-02 07:50:00,-571.594
407,2025-05-02 07:55:00,-531.554
408,2025-05-02 08:00:00,9000.0
409,2025-05-02 08:05:00,9000.0
410,2025-05-02 08:10:00,9000.0
