,year,month,hour,value
176,2025,11,8,0.0
177,2025,11,9,0.0
178,2025,11,10,0.0
179,2025,11,11,-2240.0
180,2025,11,12,-2400.0
181,2025,11,13,-1080.0
182,2025,11,14,0.0
183,2025,11,15,0.0
184,2025,11,16,14313.269999999999
185,2025,11,17,22273.6
186,2025,11,18,10821.173333333334
187,2025,11,19,13262.5
188,2025,11,20,13893.75
189,2025,11,21,17507.256666666664
190,2025,11,22,0.0
191,2025,11,23,-7018.260666666667
192,2025,12,0,-11928.218774193549
193,2025,12,1,-18240.0
194,2025,12,2,-24408.21877419355
195,2025,12,3,-30444.10938709677
196,2025,12,4,-34488.218774193556
197,2025,12,5,-31200.0
198,2025,12,6,0.0
199,2025,12,7,0.0
200,2025,12,8,-115.07712903225807
201,2025,12,9,0.0
202,2025,12,10,0.0
203,2025,12,11,0.0
204,2025,12,12,-2322.5806451612902
205,2025,12,13,-1200.0
206,2025,12,14,0.0
207,2025,12,15,12697.58064516129
208,2025,12,16,9979.838709677419
209,2025,12,17,6314.5161290322585
210,2025,12,18,5024.193548387097
211,2025,12,19,40000.0
212,2025,12,20,40000.0
213,2025,12,21,10116.935483870968
214,2025,12,22,14804.435483870968
215,2025,12,23,-4620.9675161290315
216,2026,1,0,-11928.218774193549
217,2026,1,1,-17616.437548387097
218,2026,1,2,-23940.546935483868
219,2026,1,3,-30444.10938709677
220,2026,1,4,-34644.109387096774
221,2026,1,5,-31200.0
222,2026,1,6,-115.07712903225807
223,2026,1,7,0.0
224,2026,1,8,0.0
225,2026,1,9,0.0
226,2026,1,10,0.0
227,2026,1,11,0.0
228,2026,1,12,-2400.0
229,2026,1,13,-1200.0
230,2026,1,14,0.0
231,2026,1,15,11338.709677419354
232,2026,1,16,12491.935483870968
233,2026,1,17,3802.4193548387098
234,2026,1,18,6383.064516129032
235,2026,1,19,40000.0
236,2026,1,20,40000.0
237,2026,1,21,9437.5
238,2026,1,22,15483.870967741936
239,2026,1,23,-5478.891838709677
240,2026,2,0,-11365.714285714286
241,2026,2,1,-17911.583857142858
242,2026,2,2,-23837.14285714286
243,2026,2,3,-29463.121107142855
244,2026,2,4,-33557.142857142855
245,2026,2,5,-30041.692535714283
246,2026,2,6,16646.685714285715
247,2026,2,7,15896.525
248,2026,2,8,0.0
249,2026,2,9,0.0
250,2026,2,10,0.0
251,2026,2,11,-2314.285714285714
252,2026,2,12,-2400.0
253,2026,2,13,-1157.142857142857
254,2026,2,14,0.0
255,2026,2,15,0.0
256,2026,2,16,13271.510714285714
257,2026,2,17,14397.107142857143
258,2026,2,18,11953.125
259,2026,2,19,21539.964285714286
260,2026,2,20,22857.14285714286
261,2026,2,21,22375.43928571429
262,2026,2,22,0.0
263,2026,2,23,-6919.5650000000005
264,2026,3,0,-11507.41270967742
265,2026,3,1,-17023.46422580645
266,2026,3,2,-23125.16129032258
267,2026,3,3,-29573.14164516129
268,2026,3,4,-33867.734548387096
269,2026,3,5,-31200.0
270,2026,3,6,18357.983870967742
271,2026,3,7,17652.064516129034
272,2026,3,8,0.0
273,2026,3,9,0.0
274,2026,3,10,0.0
275,2026,3,11,-2400.0
276,2026,3,12,-2400.0
277,2026,3,13,-1200.0
278,2026,3,14,0.0
279,2026,3,15,0.0
280,2026,3,16,22695.009677419355
281,2026,3,17,12425.016129032258
282,2026,3,18,15346.774193548386
283,2026,3,19,19624.612903225807
284,2026,3,20,16061.845161290323
285,2026,3,21,16774.1935483871
286,2026,3,22,0.0
287,2026,3,23,-6670.476612903226
