,year,month,hour,value
74,2024,10,2,-82.93109677419355
75,2024,10,3,-131.93757258064517
76,2024,10,4,-380.4297016129033
77,2024,10,5,-449.6398064516129
78,2024,10,6,463.83643548387096
79,2024,10,7,615.2507499999999
80,2024,10,8,-177.56940322580644
81,2024,10,9,-72.08246774193549
82,2024,10,10,-33.42445967741936
83,2024,10,11,-251.79765322580644
84,2024,10,12,-306.07315322580644
85,2024,10,13,-303.4104032258064
86,2024,10,14,-69.05665322580644
87,2024,10,15,-14.031056451612905
88,2024,10,16,104.93614516129033
89,2024,10,17,294.82766129032257
90,2024,10,18,358.9303064516129
91,2024,10,19,179.88690322580644
92,2024,10,20,47.17046774193548
93,2024,10,21,113.88683870967742
94,2024,10,22,-5.54991129032258
95,2024,10,23,-119.67873387096775
96,2024,11,0,-20.814349999999997
97,2024,11,1,-21.541383333333332
98,2024,11,2,-76.06675
99,2024,11,3,-42.73878333333334
100,2024,11,4,-509.10536666666667
101,2024,11,5,-567.525
102,2024,11,6,485.26500000000004
103,2024,11,7,625.0
104,2024,11,8,-50.305733333333336
105,2024,11,9,-7.84
106,2024,11,10,-7.8
107,2024,11,11,-179.39338333333333
108,2024,11,12,-499.04768333333334
109,2024,11,13,-513.0849999999999
110,2024,11,14,-8.65
111,2024,11,15,-10.560599999999999
112,2024,11,16,217.1517166666667
113,2024,11,17,366.71666666666664
114,2024,11,18,305.02000000000004
115,2024,11,19,104.90083333333334
116,2024,11,20,43.516666666666666
117,2024,11,21,73.64083333333333
118,2024,11,22,-4.384783333333333
119,2024,11,23,-22.680166666666665
120,2024,12,0,-73.09433870967742
121,2024,12,1,-54.691887096774195
122,2024,12,2,-104.89196774193547
123,2024,12,3,-180.52695967741937
124,2024,12,4,-309.4486532258065
125,2024,12,5,-348.2799112903226
126,2024,12,6,-17.294185483870965
127,2024,12,7,-9.80308064516129
128,2024,12,8,-11.139935483870968
129,2024,12,9,-7.375419354838709
130,2024,12,10,77.42256451612903
131,2024,12,11,381.1986693548387
132,2024,12,12,-296.16462903225806
133,2024,12,13,-281.13912903225804
134,2024,12,14,-1.0753064516129032
135,2024,12,15,78.35035483870968
136,2024,12,16,212.30500806451613
137,2024,12,17,100.1173870967742
138,2024,12,18,5.263725806451613
139,2024,12,19,291.82192741935484
