,0
2025-01,22176576.58951312
2025-02,22772111.005455382
2025-03,27253440.01746166
2025-04,26302298.351749245
2025-05,26612334.892954763
2025-06,25311156.090292104
2025-07,26039971.470961936
2025-08,26090088.763311915
2025-09,24987008.591301385
2025-10,24598101.70398142
2025-11,21636276.98572662
2025-12,20819956.12458808
