,Time,P_kw,PV_kw,WindPower_MW,Wind_kw,NetLoad_kw
0,2025-01-01 00:00:00,66807.81765740488,0.0,0.0,0.0,66807.81765740488
1,2025-01-01 00:15:00,66807.81765740488,0.0,,,
2,2025-01-01 00:30:00,66807.81765740488,0.0,,,
3,2025-01-01 00:45:00,66807.81765740488,0.0,,,
4,2025-01-01 01:00:00,66807.81765740488,0.0,0.0,0.0,66807.81765740488
5,2025-01-01 01:15:00,66807.81765740488,0.0,,,
6,2025-01-01 01:30:00,66807.81765740488,0.0,,,
7,2025-01-01 01:45:00,64238.28620904315,0.0,,,
8,2025-01-01 02:00:00,66807.81765740488,0.0,0.0,0.0,66807.81765740488
9,2025-01-01 02:15:00,64238.28620904315,0.0,,,
10,2025-01-01 02:30:00,66807.81765740488,0.0,,,
11,2025-01-01 02:45:00,69377.34910576661,0.0,,,
12,2025-01-01 03:00:00,66807.81765740488,0.0,0.1333258093011378,133.3258093011378,66674.49184810375
13,2025-01-01 03:15:00,64238.28620904315,0.0,,,
14,2025-01-01 03:30:00,66807.81765740488,0.0,,,
15,2025-01-01 03:45:00,64238.28620904315,0.0,,,
16,2025-01-01 04:00:00,66807.81765740488,0.0,0.5716689907381977,571.6689907381976,66236.14866666669
17,2025-01-01 04:15:00,66807.81765740488,0.0,,,
18,2025-01-01 04:30:00,66807.81765740488,0.0,,,
19,2025-01-01 04:45:00,66807.81765740488,0.0,,,
20,2025-01-01 05:00:00,64238.28620904315,0.0,0.0,0.0,64238.28620904315
21,2025-01-01 05:15:00,66807.81765740488,0.0,,,
22,2025-01-01 05:30:00,64238.28620904315,0.0,,,
23,2025-01-01 05:45:00,64238.28620904315,0.0,,,
24,2025-01-01 06:00:00,64238.28620904315,0.0,0.0,0.0,64238.28620904315
25,2025-01-01 06:15:00,64238.28620904315,0.0,,,
26,2025-01-01 06:30:00,66807.81765740488,0.0,,,
27,2025-01-01 06:45:00,66807.81765740488,0.0,,,
28,2025-01-01 07:00:00,66807.81765740488,0.0,0.1071988323480188,107.1988323480188,66700.61882505687
29,2025-01-01 07:15:00,66807.81765740488,0.0,,,
30,2025-01-01 07:30:00,64238.28620904315,0.0,,,
31,2025-01-01 07:45:00,64238.28620904315,0.0,,,
32,2025-01-01 08:00:00,64238.28620904315,0.0262329834330851,1.8507085622311945,1850.7085622311945,62387.55141382853
33,2025-01-01 08:15:00,64238.28620904315,0.086961523733242,,,
34,2025-01-01 08:30:00,66807.81765740488,0.1470052101188727,,,
35,2025-01-01 08:45:00,64238.28620904315,0.1993410196072285,,,
36,2025-01-01 09:00:00,66807.81765740488,0.2449852320414646,191.50754930625803,191507.54930625804,-124699.9766340852
37,2025-01-01 09:15:00,64238.28620904315,0.2853483447019182,,,
38,2025-01-01 09:30:00,64238.28620904315,0.3213883525892289,,,
39,2025-01-01 09:45:00,64238.28620904315,0.3537040675370106,,,
40,2025-01-01 10:00:00,64238.28620904315,0.3826703042809224,191.50754930625803,191507.54930625804,-127269.64576751916
41,2025-01-01 10:15:00,64238.28620904315,0.4085266447812777,,,
42,2025-01-01 10:30:00,64238.28620904315,0.4314301551019673,,,
43,2025-01-01 10:45:00,64238.28620904315,0.4514864094467656,,,
44,2025-01-01 11:00:00,64238.28620904315,0.4687680042901265,191.50754930625803,191507.54930625804,-127269.73186521918
45,2025-01-01 11:15:00,66807.81765740488,0.4833258113488762,,,
46,2025-01-01 11:30:00,66807.81765740488,0.4951959146626477,,,
47,2025-01-01 11:45:00,64238.28620904315,0.5044039382726905,,,
48,2025-01-01 12:00:00,64238.28620904315,0.5109677577256065,191.50754930625803,191507.54930625804,-127269.77406497262
49,2025-01-01 12:15:00,64238.28620904315,0.5148991757332227,,,
50,2025-01-01 12:30:00,64238.28620904315,0.5162049225475651,,,
51,2025-01-01 12:45:00,64238.28620904315,0.5148871863123489,,,
52,2025-01-01 13:00:00,64238.28620904315,0.5109437783070255,191.50754930625803,191507.54930625804,-127269.77404099319
53,2025-01-01 13:15:00,64238.28620904315,0.5043679710247402,,,
54,2025-01-01 13:30:00,64238.28620904315,0.4951479714568158,,,
55,2025-01-01 13:45:00,64238.28620904315,0.4832659250585825,,,
56,2025-01-01 14:00:00,66807.81765740488,0.4686962456542864,191.50754930625803,191507.54930625804,-124700.2003450988
57,2025-01-01 14:15:00,66807.81765740488,0.4514029115108979,,,
58,2025-01-01 14:30:00,64238.28620904315,0.4313351485453308,,,
59,2025-01-01 14:45:00,61668.754760681426,0.408420509620236,,,
60,2025-01-01 15:00:00,64238.28620904315,0.3825536473197944,179.16565116472358,179165.6511647236,-114927.74750932776
61,2025-01-01 15:15:00,64238.28620904315,0.353577842185973,,,
62,2025-01-01 15:30:00,64238.28620904315,0.321254051591011,,,
63,2025-01-01 15:45:00,64238.28620904315,0.285208324574258,,,
64,2025-01-01 16:00:00,64238.28620904315,0.2448432864866179,108.83230955334284,108832.30955334284,-44594.268187586174
65,2025-01-01 16:15:00,64238.28620904315,0.1992034371834256,,,
66,2025-01-01 16:30:00,64238.28620904315,0.1468827232271183,,,
67,2025-01-01 16:45:00,64238.28620904315,0.0868720613355518,,,
68,2025-01-01 17:00:00,64238.28620904315,0.0261967555347714,54.87607898018229,54876.07898018229,9362.181032105327
69,2025-01-01 17:15:00,64238.28620904315,0.0,,,
70,2025-01-01 17:30:00,64238.28620904315,0.0,,,
71,2025-01-01 17:45:00,66807.81765740488,0.0,,,
72,2025-01-01 18:00:00,64238.28620904315,0.0,25.256166499868723,25256.166499868723,38982.119709174425
73,2025-01-01 18:15:00,64238.28620904315,0.0,,,
74,2025-01-01 18:30:00,64238.28620904315,0.0,,,
75,2025-01-01 18:45:00,64238.28620904315,0.0,,,
76,2025-01-01 19:00:00,64238.28620904315,0.0,14.213620863149542,14213.620863149541,50024.66534589361
77,2025-01-01 19:15:00,64238.28620904315,0.0,,,
78,2025-01-01 19:30:00,64238.28620904315,0.0,,,
79,2025-01-01 19:45:00,64238.28620904315,0.0,,,
80,2025-01-01 20:00:00,64238.28620904315,0.0,5.663772118948242,5663.772118948242,58574.51409009491
81,2025-01-01 20:15:00,64238.28620904315,0.0,,,
82,2025-01-01 20:30:00,64238.28620904315,0.0,,,
83,2025-01-01 20:45:00,64238.28620904315,0.0,,,
84,2025-01-01 21:00:00,64238.28620904315,0.0,0.7844172316421676,784.4172316421676,63453.86897740098
85,2025-01-01 21:15:00,64238.28620904315,0.0,,,
86,2025-01-01 21:30:00,64238.28620904315,0.0,,,
87,2025-01-01 21:45:00,64238.28620904315,0.0,,,
88,2025-01-01 22:00:00,64238.28620904315,0.0,0.0031356845262054,3.1356845262054,64235.15052451695
89,2025-01-01 22:15:00,64238.28620904315,0.0,,,
90,2025-01-01 22:30:00,64238.28620904315,0.0,,,
91,2025-01-01 22:45:00,64238.28620904315,0.0,,,
92,2025-01-01 23:00:00,64238.28620904315,0.0,0.0441923625953928,44.1923625953928,64194.09384644776
93,2025-01-01 23:15:00,64238.28620904315,0.0,,,
94,2025-01-01 23:30:00,64238.28620904315,0.0,,,
95,2025-01-01 23:45:00,64238.28620904315,0.0,,,
96,2025-01-02 00:00:00,64238.28620904315,0.0,0.0549448784417804,54.944878441780396,64183.34133060137
97,2025-01-02 00:15:00,64238.28620904315,0.0,,,
98,2025-01-02 00:30:00,66807.81765740488,0.0,,,
99,2025-01-02 00:45:00,66807.81765740488,0.0,,,
100,2025-01-02 01:00:00,64238.28620904315,0.0,0.0,0.0,64238.28620904315
101,2025-01-02 01:15:00,64238.28620904315,0.0,,,
102,2025-01-02 01:30:00,64238.28620904315,0.0,,,
103,2025-01-02 01:45:00,64238.28620904315,0.0,,,
104,2025-01-02 02:00:00,64238.28620904315,0.0,0.0,0.0,64238.28620904315
105,2025-01-02 02:15:00,64238.28620904315,0.0,,,
106,2025-01-02 02:30:00,64238.28620904315,0.0,,,
107,2025-01-02 02:45:00,64238.28620904315,0.0,,,
108,2025-01-02 03:00:00,66807.81765740488,0.0,0.0031356845262054,3.1356845262054,66804.68197287868
109,2025-01-02 03:15:00,64238.28620904315,0.0,,,
110,2025-01-02 03:30:00,64238.28620904315,0.0,,,
111,2025-01-02 03:45:00,66807.81765740488,0.0,,,
112,2025-01-02 04:00:00,64238.28620904315,0.0,1.4364093562603082,1436.4093562603082,62801.87685278284
113,2025-01-02 04:15:00,64238.28620904315,0.0,,,
114,2025-01-02 04:30:00,64238.28620904315,0.0,,,
115,2025-01-02 04:45:00,64238.28620904315,0.0,,,
116,2025-01-02 05:00:00,66807.81765740488,0.0,9.9904241034355,9990.4241034355,56817.393553969385
117,2025-01-02 05:15:00,64238.28620904315,0.0,,,
118,2025-01-02 05:30:00,64238.28620904315,0.0,,,
119,2025-01-02 05:45:00,64238.28620904315,0.0,,,
120,2025-01-02 06:00:00,64238.28620904315,0.0,23.07234902093635,23072.34902093635,41165.9371881068
121,2025-01-02 06:15:00,64238.28620904315,0.0,,,
122,2025-01-02 06:30:00,64238.28620904315,0.0,,,
123,2025-01-02 06:45:00,64238.28620904315,0.0,,,
124,2025-01-02 07:00:00,64238.28620904315,0.0,71.19089211236049,71190.89211236048,-6952.60590331733
125,2025-01-02 07:15:00,64238.28620904315,0.0,,,
126,2025-01-02 07:30:00,64238.28620904315,0.0,,,
127,2025-01-02 07:45:00,64238.28620904315,0.0,,,
128,2025-01-02 08:00:00,64238.28620904315,0.0258553604506883,92.20618531538472,92206.18531538472,-27967.924961702018
129,2025-01-02 08:15:00,64238.28620904315,0.086472851703212,,,
130,2025-01-02 08:30:00,64238.28620904315,0.146533372448077,,,
131,2025-01-02 08:45:00,64238.28620904315,0.1989111465020379,,,
132,2025-01-02 09:00:00,64238.28620904315,0.2446071314612934,92.20618531538472,92206.18531538472,-27968.14371347303
133,2025-01-02 09:15:00,64238.28620904315,0.2850289442324322,,,
134,2025-01-02 09:30:00,64238.28620904315,0.3211331022344054,,,
135,2025-01-02 09:45:00,64238.28620904315,0.3535172351851145,,,
136,2025-01-02 10:00:00,64238.28620904315,0.3825551889998041,85.20415549194882,85204.15549194883,-20966.25183809467
137,2025-01-02 10:15:00,64238.28620904315,0.4084857721837686,,,
138,2025-01-02 10:30:00,64238.28620904315,0.431465445901901,,,
139,2025-01-02 10:45:00,64238.28620904315,0.4515993190870945,,,
140,2025-01-02 11:00:00,64238.28620904315,0.4689596371191172,46.3235281291497,46323.5281291497,17914.289120256333
141,2025-01-02 11:15:00,64238.28620904315,0.4835970144000798,,,
