Time,Load_kW,Wind_kW,Served_kW,Charge_kW,Discharge_kW,SOC,Curtail_kW
2025-01-01 00:00:00,68640.0,87301.85803020578,68640.0,26190.557409061734,7528.699378855948,0.5028884591791817,0.0
2025-01-01 00:15:00,68640.0,63441.8191167061,68640.0,19032.54573501183,24230.72661830573,0.5012859678474879,0.0
2025-01-01 00:30:00,68640.0,44291.13902834765,68640.0,13287.341708504297,37636.202680156646,0.49607892428357786,0.0
2025-01-01 00:45:00,68640.0,29297.268198726742,68640.0,8789.180459618023,48131.91226089128,0.4880497255628215,0.0
2025-01-01 01:00:00,68640.0,18574.07730835823,68640.0,5572.22319250747,55638.14588414924,0.4780022015668256,0.0
2025-01-01 01:15:00,68640.0,15934.27966306228,68640.0,4780.283898918684,57486.0042358564,0.4674578133106024,0.0
2025-01-01 01:30:00,68640.0,13564.248210451322,68640.0,4069.274463135396,59145.026252684074,0.4564673363450741,0.0
2025-01-01 01:45:00,66000.0,11580.49495037684,66000.0,3474.148485113052,57893.65353473621,0.44562438185941783,0.0
2025-01-01 02:00:00,68640.0,9596.74169030237,68640.0,2879.022507090711,61922.28081678834,0.43388713849094435,0.0
2025-01-01 02:15:00,66000.0,7870.777802195758,66000.0,2361.2333406587277,60490.45553846297,0.422345938869049,0.0
2025-01-01 02:30:00,68640.0,6190.906573371065,68640.0,1857.2719720113193,64306.36539864026,0.4099676472183917,0.0
2025-01-01 02:45:00,71280.0,4965.728948939956,71280.0,1489.7186846819868,67803.98973574203,0.3968378462357293,0.0
2025-01-01 03:00:00,68640.0,3839.6614219255957,68640.0,1151.8984265776787,65952.23700465208,0.3840170018443846,0.0
2025-01-01 03:15:00,66000.0,3028.7891400139742,66000.0,908.6367420041925,63879.847601990215,0.3715644402781558,0.0
2025-01-01 03:30:00,68640.0,2345.764574447893,68640.0,703.7293723343679,66997.96479788648,0.35846241374646765,0.0
2025-01-01 03:45:00,66000.0,1862.716713899761,66000.0,558.8150141699284,64696.09830027017,0.3457903733446527,0.0
2025-01-01 04:00:00,68640.0,1511.9743694198798,68640.0,453.592310825964,67581.61794140609,0.3325314103318126,0.0
2025-01-01 04:15:00,68640.0,1290.1501419647345,68640.0,387.04504258942035,67736.89490062468,0.31923069543284915,0.0
2025-01-01 04:30:00,68640.0,1180.8094110944878,68640.0,354.24282332834633,67813.43341223386,0.3059094003574266,0.0
2025-01-01 04:45:00,68640.0,1071.4686802242416,68640.0,321.4406040672725,67889.97192384303,0.2925675251055449,0.0
2025-01-01 05:00:00,66000.0,1047.1073165752232,66000.0,314.13219497256694,65267.024878397344,0.2797419702248614,0.0
2025-01-01 05:15:00,68640.0,1035.0372358947413,68640.0,310.5111707684224,67915.47393487368,0.2663932378251722,0.0
2025-01-01 05:30:00,66000.0,1022.9671552142594,66000.0,306.89014656427787,65283.92299135002,0.2535631392691665,0.0
2025-01-01 05:45:00,66000.0,1022.3269793908995,66000.0,306.69809381726986,65284.37111442637,0.24073292021889212,0.0
2025-01-01 06:00:00,66000.0,1022.3269793908995,66000.0,306.69809381726986,65284.37111442637,0.22790270116861777,0.0
2025-01-01 06:15:00,66000.0,1022.3269793908995,66000.0,306.69809381726986,65284.37111442637,0.2150724821183434,0.0
2025-01-01 06:30:00,68640.0,1022.3269793908995,68640.0,306.69809381726986,67924.37111442637,0.20172135738672436,0.0
2025-01-01 06:45:00,68640.0,1022.3269793908995,68640.0,306.69809381726986,67924.37111442637,0.18837023265510536,0.0
2025-01-01 07:00:00,68640.0,1022.3269793908995,68640.0,306.69809381726986,67924.37111442637,0.17501910792348635,0.0
2025-01-01 07:15:00,68640.0,1022.3269793908995,68640.0,306.69809381726986,67924.37111442637,0.16166798319186734,0.0
2025-01-01 07:30:00,66000.0,1022.3269793908995,66000.0,306.69809381726986,65284.37111442637,0.14883776414159297,0.0
2025-01-01 07:45:00,66000.0,1022.3269793908995,66000.0,306.69809381726986,65284.37111442637,0.13600754509131857,0.0
2025-01-01 08:00:00,66000.0,1022.3269793908995,66000.0,306.69809381726986,65284.37111442637,0.12317732604104417,0.0
2025-01-01 08:15:00,66000.0,1022.3269793908995,66000.0,306.69809381726986,65284.37111442637,0.11034710699076979,0.0
2025-01-01 08:30:00,68640.0,1022.3269793908995,53155.76043706601,306.69809381726986,52440.131551492384,0.10005122027416351,0.0
2025-01-01 08:45:00,66000.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-01-01 09:00:00,68640.0,1022.3269793908995,975.2181521805761,306.69809381726986,259.58926660694647,0.10005122027416351,0.0
2025-01-01 09:15:00,66000.0,1030.7772074192771,981.1333118004404,309.2331622257832,259.58926660694647,0.10005164364457735,0.0
2025-01-01 09:30:00,66000.0,1045.6873070834017,993.7160634662779,313.7061921250205,261.73494850789666,0.10005239066525469,0.0
2025-01-01 09:45:00,66000.0,1060.5974067475258,1007.9391057379319,318.1792220242578,265.52092101466377,0.10005313768593202,0.0
2025-01-01 10:00:00,66000.0,1160.9292782089885,1081.957388267616,348.27878346269654,269.3068935213238,0.10005816447879497,0.0
2025-01-01 10:15:00,66000.0,2345.7645744478905,1936.8183644363687,703.7293723343671,294.7831623228453,0.10011752668867042,0.0
2025-01-01 10:30:00,66000.0,5932.464845859583,4748.361932845547,1779.7394537578748,595.6365407438391,0.10029722631016867,0.0
2025-01-01 10:45:00,66000.0,13564.248210451322,11001.34522097655,4069.274463135396,1506.3714736606228,0.10067959129140368,0.0
2025-01-01 11:00:00,66000.0,26523.989661199583,22011.026668437546,7957.1968983598745,3444.233905597837,0.10132889579336535,0.0
2025-01-01 11:15:00,68640.0,29297.268198726742,27243.05919388047,8789.180459618023,6734.9714547717485,0.10146784163934951,0.0
2025-01-01 11:30:00,68640.0,32732.07431659516,30351.6143626373,9819.622294978548,7439.162341020689,0.10163993111228949,0.0
2025-01-01 11:45:00,66000.0,36195.47746714749,33648.16253747311,10858.643240144245,8311.328310469864,0.10181345334391023,0.0
2025-01-01 12:00:00,66000.0,39658.880617699826,36951.97207084798,11897.66418530995,9190.755638458106,0.10198697557553099,0.0
2025-01-01 12:15:00,66000.0,34848.5984641549,34464.20189135477,10454.579539246472,10070.182966446346,0.10174597247605772,0.0
2025-01-01 12:30:00,66000.0,30038.31631060997,29875.57753944524,9011.494893182991,8848.756122018258,0.10150496937658443,0.0
2025-01-01 12:45:00,66000.0,26061.77657161171,25870.57287771826,7818.532971483513,7627.329277590062,0.101305738152368,0.0
2025-01-01 13:00:00,66000.0,22210.00082504621,22164.606884596025,6663.000247513863,6617.60630706368,0.10111275781072335,0.0
2025-01-01 13:15:00,66000.0,25291.421422298616,23343.558405104766,7587.426426689584,5639.563409495736,0.10126714208403907,0.0
2025-01-01 13:30:00,66000.0,28372.84201955099,26282.987141235782,8511.852605865297,6421.997727550091,0.10142152635735478,0.0
2025-01-01 13:45:00,66000.0,31962.42917202794,29578.132466023897,9588.728751608382,7204.43204560434,0.10160137061637374,0.0
2025-01-01 14:00:00,68640.0,35810.654894863896,33183.358441766046,10743.196468459168,8115.900015361319,0.10179417309595237,0.0
2025-01-01 14:15:00,68640.0,32924.48560273694,32140.181412819686,9877.345680821083,9093.041490903832,0.10164957123626842,0.0
2025-01-01 14:30:00,66000.0,30038.31631060997,29387.006801673982,9011.494893182991,8360.185384247001,0.10150496937658443,0.0
2025-01-01 14:45:00,63360.0,27602.486870237895,26949.07008675659,8280.746061071368,7627.329277590062,0.10138293028902587,0.0
2025-01-01 15:00:00,66000.0,25291.421422298616,24712.81846169989,7587.426426689584,7008.823466090858,0.10126714208403907,0.0
2025-01-01 15:15:00,66000.0,23134.427004221914,22616.09663050543,6940.328101266574,6421.997727550091,0.10115907309271804,0.0
2025-01-01 15:30:00,66000.0,20977.43258614524,20558.496515213646,6293.2297758435725,5874.293704911978,0.10105100410139704,0.0
2025-01-01 15:45:00,66000.0,19294.022120711674,18832.405166772143,5788.206636213502,5326.589682273972,0.10096666245013731,0.0
2025-01-01 16:00:00,66000.0,17614.15089188697,17229.04372121199,5284.245267566091,4899.138096891111,0.100882498120491,0.0
2025-01-01 16:15:00,66000.0,15934.27966306228,15626.580958611536,4780.283898918684,4472.58519446794,0.10079833379084469,0.0
2025-01-01 16:30:00,66000.0,14285.613032296587,14045.96141465238,4285.683909688976,4046.0322920447684,0.10071573286322137,0.0
2025-01-01 16:45:00,66000.0,13023.224594067382,12743.660077007924,3906.9673782202153,3627.4028611607573,0.10065248511254041,0.0
2025-01-01 17:00:00,66000.0,11760.836155838168,11539.442498012282,3528.250846751451,3306.8571889255663,0.10058923736185944,0.0
2025-01-01 17:15:00,66000.0,9686.912293033036,9767.1501218135,2906.0736879099113,2986.3115166903754,0.1004853303428836,0.0
2025-01-01 17:30:00,66000.0,8129.21952970726,8150.154440242022,2438.765858912178,2459.7007694469394,0.10040728735662925,0.0
2025-01-01 17:45:00,68640.0,6643.179596516176,6714.397140544628,1992.9538789548533,2064.1714229833055,0.10033283429578828,0.0
2025-01-01 18:00:00,66000.0,5398.831843945477,5466.0184539091915,1619.649553183643,1686.8361631473574,0.10027049041332577,0.0
2025-01-01 18:15:00,66000.0,5009.039238440509,4877.198848723017,1502.7117715321529,1370.8713818146614,0.10025096115847544,0.0
2025-01-01 18:30:00,66000.0,4619.246632935541,4505.367886479643,1385.7739898806624,1271.895243424764,0.10023143190362514,0.0
2025-01-01 18:45:00,66000.0,4229.454027430564,4133.536924236369,1268.836208229169,1172.9191050349734,0.10021190264877484,0.0
2025-01-01 19:00:00,66000.0,3839.6614219255957,3761.7059619931006,1151.8984265776787,1073.942966645183,0.10019237339392455,0.0
2025-01-01 19:15:00,66000.0,3926.282000926702,3723.364228904084,1177.8846002780106,974.9668282553927,0.1001967132283357,0.0
2025-01-01 19:30:00,66000.0,4012.9025799278074,3805.9933316247516,1203.8707739783422,996.9615256752866,0.10020105306274689,0.0
2025-01-01 19:45:00,66000.0,4099.52315892891,3888.622434345524,1229.856947678673,1018.9562230952877,0.10020539289715806,0.0
2025-01-01 20:00:00,66000.0,4186.143737930015,3971.251537066192,1255.8431213790045,1040.9509205151815,0.10020973273156925,0.0
2025-01-01 20:15:00,66000.0,4489.315764433881,4205.4666530388995,1346.7947293301643,1062.9456179351826,0.10022492215200839,0.0
2025-01-01 20:30:00,66000.0,4792.487790937743,4494.6685125614995,1437.746337281323,1139.927058905079,0.1002401115724475,0.0
2025-01-01 20:45:00,66000.0,5095.659817441609,4783.870372083995,1528.697945232483,1216.9084998748685,0.10025530099288663,0.0
2025-01-01 21:00:00,66000.0,5398.831843945477,5073.0722316065985,1619.649553183643,1293.889940844765,0.10027049041332577,0.0
2025-01-01 21:15:00,66000.0,6966.231755905541,6247.23361094854,2089.869526771662,1370.8713818146614,0.10034901974379719,0.0
2025-01-01 21:30:00,66000.0,8775.323848485994,7911.5922613997345,2632.5971545457983,1768.8655674595386,0.10043965825264706,0.0
2025-01-01 21:45:00,66000.0,11039.471333992902,9955.860165402592,3311.841400197871,2228.230231607561,0.10055309579004175,0.0
2025-01-01 22:00:00,66000.0,13564.248210451322,12298.116308443381,4069.274463135396,2803.142561127455,0.10067959129140368,0.0
2025-01-01 22:15:00,66000.0,17254.178485710265,15522.158845595022,5176.25354571308,3444.233905597837,0.10086446290699537,0.0
2025-01-01 22:30:00,66000.0,21285.5746458705,19281.083253200926,6385.67239376115,4381.181001091576,0.10106644252872862,0.0
2025-01-01 22:45:00,66000.0,26369.918631336957,23863.776156015254,7910.975589401089,5404.833114079386,0.10132117657969958,0.0
2025-01-01 23:00:00,66000.0,31962.42917202794,29069.550159288654,9588.728751608382,6695.849738869095,0.10160137061637374,0.0
2025-01-01 23:15:00,66000.0,31962.42917202794,30489.600435780878,9588.728751608382,8115.900015361319,0.10160137061637374,0.0
