,0
2025-01,31556307.40449129
2025-02,47891769.09905977
2025-03,66925974.81359148
2025-04,67438229.41858034
2025-05,63162354.915460385
2025-06,37543473.86345023
2025-07,31657396.33082818
2025-08,20185715.165902328
2025-09,30857357.8673987
2025-10,27110168.334383637
2025-11,56642751.08494247
2025-12,37030847.05181084
