m,kw
2025-01,20698145.84621734
2025-02,18360451.42221534
2025-03,19732448.18187498
2025-04,11496041.500000827
2025-05,13863263.064408693
2025-06,7503355.003638958
2025-07,23644004.466817793
2025-08,6614847.484381739
2025-09,15743376.393217288
2025-10,25591691.880587764
2025-11,19089409.80976016
2025-12,26951162.20388232
