,Time,P_kw,PV_kw,WindPower_MW,Wind_kw,NetLoad_kw
0,2025-01-01 00:00:00,68640.0,0.0,95.7675880756993,95767.5880756993,-27127.5880756993
1,2025-01-01 00:15:00,68640.0,0.0,68.43409995109262,68434.09995109262,205.90004890738055
2,2025-01-01 00:30:00,68640.0,0.0,46.691495573908945,46691.49557390894,21948.504426091058
3,2025-01-01 00:45:00,68640.0,0.0,29.917236923682076,29917.236923682074,38722.763076317926
4,2025-01-01 01:00:00,68640.0,0.0,18.100074353070735,18100.074353070733,50539.92564692927
5,2025-01-01 01:15:00,68640.0,0.0,15.330313111470781,15330.313111470781,53309.68688852922
6,2025-01-01 01:30:00,68640.0,0.0,12.5610521918218,12561.0521918218,56078.9478081782
7,2025-01-01 01:45:00,66000.0,0.0,10.576420121069066,10576.420121069066,55423.579878930934
8,2025-01-01 02:00:00,68640.0,0.0,8.591788050316334,8591.788050316334,60048.21194968367
9,2025-01-01 02:15:00,66000.0,0.0,6.583746376886852,6583.746376886852,59416.253623113145
10,2025-01-01 02:30:00,68640.0,0.0,5.0115053857710565,5011.505385771056,63628.49461422894
11,2025-01-01 02:45:00,71280.0,0.0,3.5505707188892557,3550.5707188892557,67729.42928111074
12,2025-01-01 03:00:00,68640.0,0.0,2.596916347228847,2596.916347228847,66043.08365277115
13,2025-01-01 03:15:00,66000.0,0.0,1.6432619755684423,1643.2619755684423,64356.73802443156
14,2025-01-01 03:30:00,68640.0,0.0,1.1180474996472478,1118.0474996472478,67521.95250035275
15,2025-01-01 03:45:00,66000.0,0.0,0.6283330925783913,628.3330925783913,65371.66690742161
16,2025-01-01 04:00:00,68640.0,0.0,0.34492540798377636,344.9254079837764,68295.07459201623
17,2025-01-01 04:15:00,68640.0,0.0,0.19226140254125795,192.26140254125795,68447.73859745874
18,2025-01-01 04:30:00,68640.0,0.0,0.055507234881293145,55.507234881293144,68584.4927651187
19,2025-01-01 04:45:00,68640.0,0.0,0.03369809124664781,33.69809124664781,68606.30190875335
20,2025-01-01 05:00:00,66000.0,0.0,0.011888947612002385,11.888947612002385,65988.11105238799
21,2025-01-01 05:15:00,68640.0,0.0,0.0,0.0,68640.0
22,2025-01-01 05:30:00,66000.0,0.0,0.0,0.0,66000.0
23,2025-01-01 05:45:00,66000.0,0.0,0.0,0.0,66000.0
24,2025-01-01 06:00:00,66000.0,0.0,0.0,0.0,66000.0
25,2025-01-01 06:15:00,66000.0,0.0,0.0,0.0,66000.0
26,2025-01-01 06:30:00,68640.0,0.0,0.0,0.0,68640.0
27,2025-01-01 06:45:00,68640.0,0.0,0.0,0.0,68640.0
28,2025-01-01 07:00:00,68640.0,0.0,0.0,0.0,68640.0
29,2025-01-01 07:15:00,68640.0,54.885690686275716,0.0,0.0,68585.11430931372
30,2025-01-01 07:30:00,66000.0,890.5418653288698,0.0,0.0,65109.45813467113
31,2025-01-01 07:45:00,66000.0,2052.1904289266304,0.0,0.0,63947.80957107337
32,2025-01-01 08:00:00,66000.0,3252.807807972561,0.0,0.0,62747.19219202744
33,2025-01-01 08:15:00,66000.0,4404.097476515652,0.0,0.0,61595.90252348435
34,2025-01-01 08:30:00,68640.0,5484.116097209905,0.0,0.0,63155.8839027901
35,2025-01-01 08:45:00,66000.0,6488.949009896268,0.0,0.0,59511.05099010373
36,2025-01-01 09:00:00,68640.0,7419.200296878252,0.0,0.0,61220.799703121746
37,2025-01-01 09:15:00,66000.0,8276.289711209312,0.0,0.0,57723.71028879069
38,2025-01-01 09:30:00,66000.0,9061.493881741028,0.009906298190671034,9.906298190671034,56928.5998200683
39,2025-01-01 09:45:00,66000.0,9775.767375318352,0.030724117114650663,30.724117114650664,56193.508507567
40,2025-01-01 10:00:00,66000.0,10419.773466993549,0.05154193603863044,51.54193603863044,55528.684596967825
41,2025-01-01 10:15:00,66000.0,10993.956681960502,1.1180474996472458,1118.0474996472458,53887.99581839225
42,2025-01-01 10:30:00,66000.0,11498.60985298705,4.769622156368632,4769.622156368632,49731.767990644315
43,2025-01-01 10:45:00,66000.0,11933.924866764284,12.5610521918218,12561.0521918218,41505.02294141392
44,2025-01-01 11:00:00,66000.0,12300.028080748394,26.87068304168614,26870.683041686138,26829.28887756547
45,2025-01-01 11:15:00,68640.0,12597.003809946973,29.917236923682076,29917.236923682074,26125.75926637095
