m,u
2025-01,23630420.59047814
2025-02,23260146.36642205
2025-03,27326488.87857115
2025-04,27013571.6821335
2025-05,27021939.597327705
2025-06,25666665.01304732
2025-07,26262895.649308704
2025-08,26453946.15212433
2025-09,25632102.079259925
2025-10,25438903.17938328
2025-11,22909308.019783184
2025-12,22582907.29125946
