m,kw
2025-01,2735899.1052500303
2025-02,2693029.2411943562
2025-03,3163825.044342766
2025-04,3127595.9017224237
2025-05,3128564.727969294
2025-06,2971652.8140106015
2025-07,3040683.6151351267
2025-08,3062803.1917930827
2025-09,2967651.1628651344
2025-10,2945282.847613023
2025-11,2652409.6375363725
2025-12,2614619.389254425
