Time,风电发电量(kWh),风电消纳电量(kWh),弃电电量(kWh),用电量(kWh),风电消纳率,负荷覆盖率
2025-01-31,22067095.29130058,15753470.974188969,6313624.317111611,45555452.51612903,0.7138896518201647,0.3458086815976948
2025-02-28,19089589.599806063,15682999.41981129,3406590.179994773,48597120.0,0.821547228022682,0.3227145851402571
2025-03-31,20800072.293076817,16954040.264848508,3846032.028228309,57287995.741935484,0.8150952566877165,0.29594402885416277
2025-04-30,12509329.017314928,10316822.322649965,2192506.6946649626,55673437.63333333,0.8247302719730067,0.18530959756063237
2025-05-31,14773488.272718638,12727947.846159404,2045540.426559234,60050874.96774194,0.8615397806666543,0.2119527459507724
2025-06-30,7861143.332260837,7656081.815140428,205061.51712040883,61161909.6,0.9739145429038458,0.125177285425052
2025-07-31,26449415.949762374,20798971.450584855,5650444.499177519,65339638.06451613,0.7863678914532597,0.3183208855556871
2025-08-31,7401551.544145598,6677982.302811778,723569.2413338199,62533680.0,0.9022408697665368,0.10679016975830909
2025-09-30,17512209.674975187,13712808.578112604,3799401.0968625825,56005840.0,0.7830427360465027,0.2448460478070252
2025-10-31,27692324.477105986,23873960.277291127,3818364.19981486,67256310.0,0.862114709692514,0.35496982033791513
2025-11-30,21886912.29589486,17922889.6385773,3964022.65731756,66201300.0,0.8188861633963299,0.2707331976649598
2025-12-31,30280868.25163813,21951600.146512996,8329268.105125133,58570710.0,0.7249329829016862,0.3747880151446516
