column,score,potential_level,suitability,daily_spread_mean,mean_price,std_price,p95_price
price_hqb,100,非常适合,适合建储能（价差 971.3 ≥ 450）,971.3061618122977,402.787183904156,423.3976083491266,1400.0
price_sh,100,非常适合,适合建储能（价差 715.3 ≥ 450）,715.2799093851132,308.75827541627183,325.77699250955425,1000.0
price_qxy,100,非常适合,适合建储能（价差 740.5 ≥ 450）,740.5428932038835,313.72813117639095,336.4142763106709,1001.0
price_kz,100,非常适合,适合建储能（价差 741.2 ≥ 450）,741.1608122977347,312.05027537237714,338.0227914723708,1010.0
