,power_opt,time
2025-05-01 00:00:00,-1442.63,2025-05-01 00:00:00
2025-05-01 00:05:00,-1382.64,2025-05-01 00:05:00
2025-05-01 00:10:00,-1438.61,2025-05-01 00:10:00
2025-05-01 00:15:00,-1410.63,2025-05-01 00:15:00
2025-05-01 00:20:00,-1378.63,2025-05-01 00:20:00
2025-05-01 00:25:00,-1410.64,2025-05-01 00:25:00
2025-05-01 00:30:00,-1434.63,2025-05-01 00:30:00
2025-05-01 00:35:00,-1502.63,2025-05-01 00:35:00
2025-05-01 00:40:00,-1394.58,2025-05-01 00:40:00
2025-05-01 00:45:00,-1510.62,2025-05-01 00:45:00
2025-05-01 00:50:00,-1490.63,2025-05-01 00:50:00
2025-05-01 00:55:00,-1506.6,2025-05-01 00:55:00
2025-05-01 01:00:00,-1434.61,2025-05-01 01:00:00
2025-05-01 01:05:00,-1486.58,2025-05-01 01:05:00
2025-05-01 01:10:00,-1418.6,2025-05-01 01:10:00
2025-05-01 01:15:00,-1390.62,2025-05-01 01:15:00
2025-05-01 01:20:00,-1498.59,2025-05-01 01:20:00
2025-05-01 01:25:00,-1466.62,2025-05-01 01:25:00
2025-05-01 01:30:00,-1454.6,2025-05-01 01:30:00
2025-05-01 01:35:00,-1502.6,2025-05-01 01:35:00
2025-05-01 01:40:00,-1458.59,2025-05-01 01:40:00
2025-05-01 01:45:00,-1490.64,2025-05-01 01:45:00
2025-05-01 01:50:00,-1550.63,2025-05-01 01:50:00
2025-05-01 01:55:00,-1490.61,2025-05-01 01:55:00
2025-05-01 02:00:00,-1578.6,2025-05-01 02:00:00
2025-05-01 02:05:00,-1558.61,2025-05-01 02:05:00
2025-05-01 02:10:00,-1650.62,2025-05-01 02:10:00
2025-05-01 02:15:00,-1550.6,2025-05-01 02:15:00
2025-05-01 02:20:00,-1578.58,2025-05-01 02:20:00
2025-05-01 02:25:00,-1542.63,2025-05-01 02:25:00
2025-05-01 02:30:00,-1598.61,2025-05-01 02:30:00
2025-05-01 02:35:00,-1682.6,2025-05-01 02:35:00
2025-05-01 02:40:00,-1726.63,2025-05-01 02:40:00
2025-05-01 02:45:00,-1610.58,2025-05-01 02:45:00
2025-05-01 02:50:00,-1494.61,2025-05-01 02:50:00
2025-05-01 02:55:00,-1474.61,2025-05-01 02:55:00
2025-05-01 03:00:00,-1418.63,2025-05-01 03:00:00
2025-05-01 03:05:00,-1510.62,2025-05-01 03:05:00
2025-05-01 03:10:00,-1358.66,2025-05-01 03:10:00
2025-05-01 03:15:00,-1434.64,2025-05-01 03:15:00
2025-05-01 03:20:00,-1502.58,2025-05-01 03:20:00
2025-05-01 03:25:00,-1422.61,2025-05-01 03:25:00
2025-05-01 03:30:00,-1450.64,2025-05-01 03:30:00
2025-05-01 03:35:00,-1522.62,2025-05-01 03:35:00
2025-05-01 03:40:00,-1462.63,2025-05-01 03:40:00
2025-05-01 03:45:00,-1454.64,2025-05-01 03:45:00
2025-05-01 03:50:00,-1478.63,2025-05-01 03:50:00
2025-05-01 03:55:00,-1458.62,2025-05-01 03:55:00
2025-05-01 04:00:00,-1462.63,2025-05-01 04:00:00
2025-05-01 04:05:00,-1498.62,2025-05-01 04:05:00
2025-05-01 04:10:00,-1494.62,2025-05-01 04:10:00
2025-05-01 04:15:00,-1722.62,2025-05-01 04:15:00
2025-05-01 04:20:00,-1758.62,2025-05-01 04:20:00
2025-05-01 04:25:00,-1506.6,2025-05-01 04:25:00
2025-05-01 04:30:00,-1482.61,2025-05-01 04:30:00
2025-05-01 04:35:00,-1442.64,2025-05-01 04:35:00
2025-05-01 04:40:00,-1486.64,2025-05-01 04:40:00
2025-05-01 04:45:00,-1474.56,2025-05-01 04:45:00
2025-05-01 04:50:00,-1466.61,2025-05-01 04:50:00
2025-05-01 04:55:00,-1562.6,2025-05-01 04:55:00
2025-05-01 05:00:00,-1474.65,2025-05-01 05:00:00
2025-05-01 05:05:00,-1458.6,2025-05-01 05:05:00
2025-05-01 05:10:00,-1422.61,2025-05-01 05:10:00
2025-05-01 05:15:00,-1486.64,2025-05-01 05:15:00
2025-05-01 05:20:00,-1518.62,2025-05-01 05:20:00
2025-05-01 05:25:00,-1498.63,2025-05-01 05:25:00
2025-05-01 05:30:00,-1498.6,2025-05-01 05:30:00
2025-05-01 05:35:00,-1534.64,2025-05-01 05:35:00
2025-05-01 05:40:00,-1642.6,2025-05-01 05:40:00
2025-05-01 05:45:00,-1570.6,2025-05-01 05:45:00
2025-05-01 05:50:00,-1618.61,2025-05-01 05:50:00
2025-05-01 05:55:00,-1562.6,2025-05-01 05:55:00
2025-05-01 06:00:00,-1497.068,2025-05-01 06:00:00
2025-05-01 06:05:00,-1497.209,2025-05-01 06:05:00
2025-05-01 06:10:00,-1497.134,2025-05-01 06:10:00
2025-05-01 06:15:00,-1497.156,2025-05-01 06:15:00
2025-05-01 06:20:00,-1497.268,2025-05-01 06:20:00
2025-05-01 06:25:00,-1497.19,2025-05-01 06:25:00
2025-05-01 06:30:00,-1497.318,2025-05-01 06:30:00
2025-05-01 06:35:00,-1497.374,2025-05-01 06:35:00
2025-05-01 06:40:00,-1497.384,2025-05-01 06:40:00
2025-05-01 06:45:00,-1497.4,2025-05-01 06:45:00
2025-05-01 06:50:00,-1497.432,2025-05-01 06:50:00
2025-05-01 06:55:00,-1497.473,2025-05-01 06:55:00
2025-05-01 07:00:00,-1497.482,2025-05-01 07:00:00
2025-05-01 07:05:00,-1497.52,2025-05-01 07:05:00
2025-05-01 07:10:00,-1497.498,2025-05-01 07:10:00
