time,power_opt,time
2024-07-01 00:00:00,0.0,2024-07-01 00:00:00
2024-07-01 00:15:00,0.0,2024-07-01 00:15:00
2024-07-01 00:30:00,0.0,2024-07-01 00:30:00
2024-07-01 00:45:00,0.0,2024-07-01 00:45:00
2024-07-01 01:00:00,0.0,2024-07-01 01:00:00
2024-07-01 01:15:00,0.0,2024-07-01 01:15:00
2024-07-01 01:30:00,0.0,2024-07-01 01:30:00
2024-07-01 01:45:00,0.0,2024-07-01 01:45:00
2024-07-01 02:00:00,-428.228,2024-07-01 02:00:00
2024-07-01 02:15:00,-356.776,2024-07-01 02:15:00
2024-07-01 02:30:00,-304.348,2024-07-01 02:30:00
2024-07-01 02:45:00,-336.932,2024-07-01 02:45:00
2024-07-01 03:00:00,-275.95,2024-07-01 03:00:00
2024-07-01 03:15:00,-250.818,2024-07-01 03:15:00
2024-07-01 03:30:00,-275.516,2024-07-01 03:30:00
2024-07-01 03:45:00,-204.782,2024-07-01 03:45:00
2024-07-01 04:00:00,-205.279,2024-07-01 04:00:00
2024-07-01 04:15:00,-212.637,2024-07-01 04:15:00
2024-07-01 04:30:00,-219.363,2024-07-01 04:30:00
2024-07-01 04:45:00,-199.833,2024-07-01 04:45:00
2024-07-01 05:00:00,-189.369,2024-07-01 05:00:00
2024-07-01 05:15:00,-223.184,2024-07-01 05:15:00
2024-07-01 05:30:00,-206.235,2024-07-01 05:30:00
2024-07-01 05:45:00,-214.006,2024-07-01 05:45:00
2024-07-01 06:00:00,-219.088,2024-07-01 06:00:00
2024-07-01 06:15:00,-233.029,2024-07-01 06:15:00
2024-07-01 06:30:00,-229.746,2024-07-01 06:30:00
2024-07-01 06:45:00,-267.302,2024-07-01 06:45:00
2024-07-01 07:00:00,-254.761,2024-07-01 07:00:00
2024-07-01 07:15:00,-264.095,2024-07-01 07:15:00
2024-07-01 07:30:00,-253.41,2024-07-01 07:30:00
2024-07-01 07:45:00,-345.305,2024-07-01 07:45:00
2024-07-01 08:00:00,-345.206,2024-07-01 08:00:00
2024-07-01 08:15:00,-396.488,2024-07-01 08:15:00
2024-07-01 08:30:00,-416.12,2024-07-01 08:30:00
2024-07-01 08:45:00,-498.343,2024-07-01 08:45:00
2024-07-01 09:00:00,6.211,2024-07-01 09:00:00
2024-07-01 09:15:00,5.774,2024-07-01 09:15:00
2024-07-01 09:30:00,9.271,2024-07-01 09:30:00
2024-07-01 09:45:00,101.165,2024-07-01 09:45:00
2024-07-01 10:00:00,991.531,2024-07-01 10:00:00
