,power_opt,time
2025-05-01 00:00:00,-1759.877,2025-05-01 00:00:00
2025-05-01 00:05:00,-1699.887,2025-05-01 00:05:00
2025-05-01 00:10:00,-1755.857,2025-05-01 00:10:00
2025-05-01 00:15:00,-1727.877,2025-05-01 00:15:00
2025-05-01 00:20:00,-1695.877,2025-05-01 00:20:00
2025-05-01 00:25:00,-1727.887,2025-05-01 00:25:00
2025-05-01 00:30:00,-1751.877,2025-05-01 00:30:00
2025-05-01 00:35:00,-1819.877,2025-05-01 00:35:00
2025-05-01 00:40:00,-1711.827,2025-05-01 00:40:00
2025-05-01 00:45:00,-1827.867,2025-05-01 00:45:00
2025-05-01 00:50:00,-1807.877,2025-05-01 00:50:00
2025-05-01 00:55:00,-1823.847,2025-05-01 00:55:00
2025-05-01 01:00:00,-1751.857,2025-05-01 01:00:00
2025-05-01 01:05:00,-1803.827,2025-05-01 01:05:00
2025-05-01 01:10:00,-1735.847,2025-05-01 01:10:00
2025-05-01 01:15:00,-1707.867,2025-05-01 01:15:00
2025-05-01 01:20:00,-1815.837,2025-05-01 01:20:00
2025-05-01 01:25:00,-1783.867,2025-05-01 01:25:00
2025-05-01 01:30:00,-1771.847,2025-05-01 01:30:00
2025-05-01 01:35:00,-1819.847,2025-05-01 01:35:00
2025-05-01 01:40:00,-1775.837,2025-05-01 01:40:00
2025-05-01 01:45:00,-1807.887,2025-05-01 01:45:00
2025-05-01 01:50:00,-1867.877,2025-05-01 01:50:00
2025-05-01 01:55:00,-1807.857,2025-05-01 01:55:00
2025-05-01 02:00:00,-1895.847,2025-05-01 02:00:00
2025-05-01 02:05:00,-1875.857,2025-05-01 02:05:00
2025-05-01 02:10:00,-1967.867,2025-05-01 02:10:00
2025-05-01 02:15:00,-1867.847,2025-05-01 02:15:00
2025-05-01 02:20:00,-1895.827,2025-05-01 02:20:00
2025-05-01 02:25:00,-1859.877,2025-05-01 02:25:00
2025-05-01 02:30:00,-1915.857,2025-05-01 02:30:00
2025-05-01 02:35:00,-1999.847,2025-05-01 02:35:00
2025-05-01 02:40:00,-2043.877,2025-05-01 02:40:00
