,power_opt,time
2025-05-01 00:00:00,-2107.828,2025-05-01 00:00:00
2025-05-01 00:05:00,-2047.838,2025-05-01 00:05:00
2025-05-01 00:10:00,-2103.808,2025-05-01 00:10:00
2025-05-01 00:15:00,-2075.828,2025-05-01 00:15:00
2025-05-01 00:20:00,-2043.828,2025-05-01 00:20:00
2025-05-01 00:25:00,-2075.838,2025-05-01 00:25:00
2025-05-01 00:30:00,-2099.828,2025-05-01 00:30:00
2025-05-01 00:35:00,-2167.828,2025-05-01 00:35:00
2025-05-01 00:40:00,-2059.778,2025-05-01 00:40:00
2025-05-01 00:45:00,-2175.818,2025-05-01 00:45:00
2025-05-01 00:50:00,-2155.828,2025-05-01 00:50:00
2025-05-01 00:55:00,-2171.798,2025-05-01 00:55:00
2025-05-01 01:00:00,-2099.808,2025-05-01 01:00:00
2025-05-01 01:05:00,-2151.778,2025-05-01 01:05:00
2025-05-01 01:10:00,-2083.798,2025-05-01 01:10:00
2025-05-01 01:15:00,-2055.818,2025-05-01 01:15:00
2025-05-01 01:20:00,-2163.788,2025-05-01 01:20:00
2025-05-01 01:25:00,-2131.818,2025-05-01 01:25:00
2025-05-01 01:30:00,-2119.798,2025-05-01 01:30:00
2025-05-01 01:35:00,-2167.798,2025-05-01 01:35:00
2025-05-01 01:40:00,-2123.788,2025-05-01 01:40:00
2025-05-01 01:45:00,-2155.838,2025-05-01 01:45:00
2025-05-01 01:50:00,-2215.828,2025-05-01 01:50:00
2025-05-01 01:55:00,-2155.808,2025-05-01 01:55:00
2025-05-01 02:00:00,-2243.798,2025-05-01 02:00:00
2025-05-01 02:05:00,-2223.808,2025-05-01 02:05:00
2025-05-01 02:10:00,-2315.818,2025-05-01 02:10:00
2025-05-01 02:15:00,-2215.798,2025-05-01 02:15:00
2025-05-01 02:20:00,-2243.778,2025-05-01 02:20:00
2025-05-01 02:25:00,-2207.828,2025-05-01 02:25:00
2025-05-01 02:30:00,-2263.808,2025-05-01 02:30:00
2025-05-01 02:35:00,-2347.798,2025-05-01 02:35:00
2025-05-01 02:40:00,-2391.828,2025-05-01 02:40:00
2025-05-01 02:45:00,-2275.778,2025-05-01 02:45:00
2025-05-01 02:50:00,-2159.808,2025-05-01 02:50:00
2025-05-01 02:55:00,-2139.808,2025-05-01 02:55:00
2025-05-01 03:00:00,-2083.828,2025-05-01 03:00:00
2025-05-01 03:05:00,-2175.818,2025-05-01 03:05:00
2025-05-01 03:10:00,-2023.858,2025-05-01 03:10:00
2025-05-01 03:15:00,-2099.838,2025-05-01 03:15:00
2025-05-01 03:20:00,-2167.778,2025-05-01 03:20:00
2025-05-01 03:25:00,-2087.808,2025-05-01 03:25:00
2025-05-01 03:30:00,-2115.838,2025-05-01 03:30:00
2025-05-01 03:35:00,-2187.818,2025-05-01 03:35:00
2025-05-01 03:40:00,-2127.828,2025-05-01 03:40:00
2025-05-01 03:45:00,-2119.838,2025-05-01 03:45:00
2025-05-01 03:50:00,-2143.828,2025-05-01 03:50:00
2025-05-01 03:55:00,-2123.818,2025-05-01 03:55:00
2025-05-01 04:00:00,-2127.828,2025-05-01 04:00:00
2025-05-01 04:05:00,-2163.818,2025-05-01 04:05:00
2025-05-01 04:10:00,-2159.818,2025-05-01 04:10:00
2025-05-01 04:15:00,-2387.818,2025-05-01 04:15:00
2025-05-01 04:20:00,-2423.818,2025-05-01 04:20:00
2025-05-01 04:25:00,-2171.798,2025-05-01 04:25:00
