,power_opt,time
2025-05-01 00:00:00,-2300.627,2025-05-01 00:00:00
2025-05-01 00:05:00,-2240.637,2025-05-01 00:05:00
2025-05-01 00:10:00,-2296.607,2025-05-01 00:10:00
2025-05-01 00:15:00,-2268.627,2025-05-01 00:15:00
2025-05-01 00:20:00,-2236.627,2025-05-01 00:20:00
2025-05-01 00:25:00,-2268.637,2025-05-01 00:25:00
2025-05-01 00:30:00,-2292.627,2025-05-01 00:30:00
2025-05-01 00:35:00,-2360.627,2025-05-01 00:35:00
2025-05-01 00:40:00,-2252.577,2025-05-01 00:40:00
2025-05-01 00:45:00,-2368.617,2025-05-01 00:45:00
2025-05-01 00:50:00,-2348.627,2025-05-01 00:50:00
2025-05-01 00:55:00,-2364.597,2025-05-01 00:55:00
2025-05-01 01:00:00,-2292.607,2025-05-01 01:00:00
2025-05-01 01:05:00,-2344.577,2025-05-01 01:05:00
2025-05-01 01:10:00,-2276.597,2025-05-01 01:10:00
2025-05-01 01:15:00,-2248.617,2025-05-01 01:15:00
2025-05-01 01:20:00,-2356.587,2025-05-01 01:20:00
2025-05-01 01:25:00,-2324.617,2025-05-01 01:25:00
2025-05-01 01:30:00,-2312.597,2025-05-01 01:30:00
2025-05-01 01:35:00,-2360.597,2025-05-01 01:35:00
2025-05-01 01:40:00,-2316.587,2025-05-01 01:40:00
2025-05-01 01:45:00,-2348.637,2025-05-01 01:45:00
2025-05-01 01:50:00,-2408.627,2025-05-01 01:50:00
2025-05-01 01:55:00,-2348.607,2025-05-01 01:55:00
2025-05-01 02:00:00,-2436.597,2025-05-01 02:00:00
2025-05-01 02:05:00,-2416.607,2025-05-01 02:05:00
2025-05-01 02:10:00,-2508.617,2025-05-01 02:10:00
2025-05-01 02:15:00,-2408.597,2025-05-01 02:15:00
2025-05-01 02:20:00,-2436.577,2025-05-01 02:20:00
2025-05-01 02:25:00,-2400.627,2025-05-01 02:25:00
2025-05-01 02:30:00,-2456.607,2025-05-01 02:30:00
2025-05-01 02:35:00,-2540.597,2025-05-01 02:35:00
2025-05-01 02:40:00,-2584.627,2025-05-01 02:40:00
2025-05-01 02:45:00,-2468.577,2025-05-01 02:45:00
2025-05-01 02:50:00,-2352.607,2025-05-01 02:50:00
2025-05-01 02:55:00,-2332.607,2025-05-01 02:55:00
2025-05-01 03:00:00,-2276.627,2025-05-01 03:00:00
2025-05-01 03:05:00,-2368.617,2025-05-01 03:05:00
2025-05-01 03:10:00,-2216.657,2025-05-01 03:10:00
2025-05-01 03:15:00,-2292.637,2025-05-01 03:15:00
2025-05-01 03:20:00,-2360.577,2025-05-01 03:20:00
2025-05-01 03:25:00,-2280.607,2025-05-01 03:25:00
2025-05-01 03:30:00,-2308.637,2025-05-01 03:30:00
