,power_opt,time
2025-05-01 00:00:00,-1764.379,2025-05-01 00:00:00
2025-05-01 00:05:00,-1704.389,2025-05-01 00:05:00
2025-05-01 00:10:00,-1760.359,2025-05-01 00:10:00
2025-05-01 00:15:00,-1732.379,2025-05-01 00:15:00
2025-05-01 00:20:00,-1700.379,2025-05-01 00:20:00
2025-05-01 00:25:00,-1732.389,2025-05-01 00:25:00
2025-05-01 00:30:00,-1756.379,2025-05-01 00:30:00
2025-05-01 00:35:00,-1824.379,2025-05-01 00:35:00
2025-05-01 00:40:00,-1716.329,2025-05-01 00:40:00
2025-05-01 00:45:00,-1832.369,2025-05-01 00:45:00
2025-05-01 00:50:00,-1812.379,2025-05-01 00:50:00
2025-05-01 00:55:00,-1828.349,2025-05-01 00:55:00
2025-05-01 01:00:00,-1756.359,2025-05-01 01:00:00
2025-05-01 01:05:00,-1808.329,2025-05-01 01:05:00
2025-05-01 01:10:00,-1740.349,2025-05-01 01:10:00
2025-05-01 01:15:00,-1712.369,2025-05-01 01:15:00
2025-05-01 01:20:00,-1820.339,2025-05-01 01:20:00
2025-05-01 01:25:00,-1788.369,2025-05-01 01:25:00
2025-05-01 01:30:00,-1776.349,2025-05-01 01:30:00
2025-05-01 01:35:00,-1824.349,2025-05-01 01:35:00
2025-05-01 01:40:00,-1780.339,2025-05-01 01:40:00
2025-05-01 01:45:00,-1812.389,2025-05-01 01:45:00
2025-05-01 01:50:00,-1872.379,2025-05-01 01:50:00
2025-05-01 01:55:00,-1812.359,2025-05-01 01:55:00
2025-05-01 02:00:00,-1900.349,2025-05-01 02:00:00
2025-05-01 02:05:00,-1880.359,2025-05-01 02:05:00
2025-05-01 02:10:00,-1972.369,2025-05-01 02:10:00
2025-05-01 02:15:00,-1872.349,2025-05-01 02:15:00
2025-05-01 02:20:00,-1900.329,2025-05-01 02:20:00
2025-05-01 02:25:00,-1864.379,2025-05-01 02:25:00
2025-05-01 02:30:00,-1920.359,2025-05-01 02:30:00
2025-05-01 02:35:00,-2004.349,2025-05-01 02:35:00
2025-05-01 02:40:00,-2048.379,2025-05-01 02:40:00
2025-05-01 02:45:00,-1932.329,2025-05-01 02:45:00
2025-05-01 02:50:00,-1816.359,2025-05-01 02:50:00
2025-05-01 02:55:00,-1796.359,2025-05-01 02:55:00
2025-05-01 03:00:00,-1740.379,2025-05-01 03:00:00
2025-05-01 03:05:00,-1832.369,2025-05-01 03:05:00
2025-05-01 03:10:00,-1680.409,2025-05-01 03:10:00
2025-05-01 03:15:00,-1756.389,2025-05-01 03:15:00
2025-05-01 03:20:00,-1824.329,2025-05-01 03:20:00
2025-05-01 03:25:00,-1744.359,2025-05-01 03:25:00
2025-05-01 03:30:00,-1772.389,2025-05-01 03:30:00
2025-05-01 03:35:00,-1844.369,2025-05-01 03:35:00
2025-05-01 03:40:00,-1784.379,2025-05-01 03:40:00
2025-05-01 03:45:00,-1776.389,2025-05-01 03:45:00
2025-05-01 03:50:00,-1800.379,2025-05-01 03:50:00
2025-05-01 03:55:00,-1780.369,2025-05-01 03:55:00
2025-05-01 04:00:00,-1784.379,2025-05-01 04:00:00
2025-05-01 04:05:00,-1820.369,2025-05-01 04:05:00
2025-05-01 04:10:00,-1816.369,2025-05-01 04:10:00
2025-05-01 04:15:00,-2044.369,2025-05-01 04:15:00
2025-05-01 04:20:00,-2080.369,2025-05-01 04:20:00
2025-05-01 04:25:00,-1828.349,2025-05-01 04:25:00
2025-05-01 04:30:00,-1804.359,2025-05-01 04:30:00
2025-05-01 04:35:00,-1764.389,2025-05-01 04:35:00
2025-05-01 04:40:00,-1808.389,2025-05-01 04:40:00
2025-05-01 04:45:00,-1796.309,2025-05-01 04:45:00
2025-05-01 04:50:00,-1788.359,2025-05-01 04:50:00
2025-05-01 04:55:00,-1884.349,2025-05-01 04:55:00
2025-05-01 05:00:00,-1796.399,2025-05-01 05:00:00
2025-05-01 05:05:00,-1780.349,2025-05-01 05:05:00
2025-05-01 05:10:00,-1744.359,2025-05-01 05:10:00
2025-05-01 05:15:00,-1808.389,2025-05-01 05:15:00
2025-05-01 05:20:00,-1840.369,2025-05-01 05:20:00
2025-05-01 05:25:00,-1820.379,2025-05-01 05:25:00
2025-05-01 05:30:00,-1820.349,2025-05-01 05:30:00
2025-05-01 05:35:00,-1856.389,2025-05-01 05:35:00
2025-05-01 05:40:00,-1964.349,2025-05-01 05:40:00
2025-05-01 05:45:00,-1892.349,2025-05-01 05:45:00
2025-05-01 05:50:00,-1940.359,2025-05-01 05:50:00
2025-05-01 05:55:00,-1884.349,2025-05-01 05:55:00
2025-05-01 06:00:00,-895.811,2025-05-01 06:00:00
2025-05-01 06:05:00,-895.745,2025-05-01 06:05:00
2025-05-01 06:10:00,-895.687,2025-05-01 06:10:00
2025-05-01 06:15:00,-895.628,2025-05-01 06:15:00
2025-05-01 06:20:00,-895.57,2025-05-01 06:20:00
2025-05-01 06:25:00,-895.518,2025-05-01 06:25:00
2025-05-01 06:30:00,-895.465,2025-05-01 06:30:00
2025-05-01 06:35:00,-895.413,2025-05-01 06:35:00
2025-05-01 06:40:00,-895.367,2025-05-01 06:40:00
2025-05-01 06:45:00,-895.323,2025-05-01 06:45:00
2025-05-01 06:50:00,-895.279,2025-05-01 06:50:00
2025-05-01 06:55:00,-895.237,2025-05-01 06:55:00
2025-05-01 07:00:00,-895.198,2025-05-01 07:00:00
2025-05-01 07:05:00,-895.159,2025-05-01 07:05:00
2025-05-01 07:10:00,-895.123,2025-05-01 07:10:00
2025-05-01 07:15:00,-895.086,2025-05-01 07:15:00
2025-05-01 07:20:00,-895.052,2025-05-01 07:20:00
2025-05-01 07:25:00,-895.015,2025-05-01 07:25:00
2025-05-01 07:30:00,-894.982,2025-05-01 07:30:00
2025-05-01 07:35:00,-894.942,2025-05-01 07:35:00
2025-05-01 07:40:00,-894.904,2025-05-01 07:40:00
2025-05-01 07:45:00,-894.855,2025-05-01 07:45:00
2025-05-01 07:50:00,-894.827,2025-05-01 07:50:00
2025-05-01 07:55:00,-894.791,2025-05-01 07:55:00
2025-05-01 08:00:00,9000.0,2025-05-01 08:00:00
2025-05-01 08:05:00,9000.0,2025-05-01 08:05:00
2025-05-01 08:10:00,9000.0,2025-05-01 08:10:00
2025-05-01 08:15:00,9000.0,2025-05-01 08:15:00
2025-05-01 08:20:00,9000.0,2025-05-01 08:20:00
2025-05-01 08:25:00,9000.0,2025-05-01 08:25:00
2025-05-01 08:30:00,9000.0,2025-05-01 08:30:00
2025-05-01 08:35:00,9000.0,2025-05-01 08:35:00
2025-05-01 08:40:00,9000.0,2025-05-01 08:40:00
2025-05-01 08:45:00,9000.0,2025-05-01 08:45:00
2025-05-01 08:50:00,9000.0,2025-05-01 08:50:00
2025-05-01 08:55:00,9000.0,2025-05-01 08:55:00
2025-05-01 09:00:00,9000.0,2025-05-01 09:00:00
2025-05-01 09:05:00,9000.0,2025-05-01 09:05:00
2025-05-01 09:10:00,9000.0,2025-05-01 09:10:00
2025-05-01 09:15:00,9000.0,2025-05-01 09:15:00
2025-05-01 09:20:00,9000.0,2025-05-01 09:20:00
2025-05-01 09:25:00,9000.0,2025-05-01 09:25:00
2025-05-01 09:30:00,9000.0,2025-05-01 09:30:00
2025-05-01 09:35:00,9000.0,2025-05-01 09:35:00
2025-05-01 09:40:00,8999.999,2025-05-01 09:40:00
2025-05-01 09:45:00,8999.992,2025-05-01 09:45:00
2025-05-01 09:50:00,1044.005,2025-05-01 09:50:00
2025-05-01 09:55:00,0.0,2025-05-01 09:55:00
2025-05-01 10:00:00,0.0,2025-05-01 10:00:00
2025-05-01 10:05:00,0.0,2025-05-01 10:05:00
2025-05-01 10:10:00,0.0,2025-05-01 10:10:00
2025-05-01 10:15:00,0.0,2025-05-01 10:15:00
2025-05-01 10:20:00,0.0,2025-05-01 10:20:00
2025-05-01 10:25:00,0.0,2025-05-01 10:25:00
2025-05-01 10:30:00,0.0,2025-05-01 10:30:00
2025-05-01 10:35:00,0.0,2025-05-01 10:35:00
2025-05-01 10:40:00,0.0,2025-05-01 10:40:00
2025-05-01 10:45:00,0.0,2025-05-01 10:45:00
2025-05-01 10:50:00,0.0,2025-05-01 10:50:00
2025-05-01 10:55:00,0.0,2025-05-01 10:55:00
2025-05-01 11:00:00,-2060.359,2025-05-01 11:00:00
2025-05-01 11:05:00,-2108.329,2025-05-01 11:05:00
2025-05-01 11:10:00,-1976.319,2025-05-01 11:10:00
2025-05-01 11:15:00,-2084.339,2025-05-01 11:15:00
2025-05-01 11:20:00,-1988.369,2025-05-01 11:20:00
2025-05-01 11:25:00,-2044.369,2025-05-01 11:25:00
2025-05-01 11:30:00,-2080.379,2025-05-01 11:30:00
2025-05-01 11:35:00,-2016.389,2025-05-01 11:35:00
2025-05-01 11:40:00,-2036.349,2025-05-01 11:40:00
2025-05-01 11:45:00,-2132.369,2025-05-01 11:45:00
2025-05-01 11:50:00,-2096.349,2025-05-01 11:50:00
2025-05-01 11:55:00,-2128.309,2025-05-01 11:55:00
2025-05-01 12:00:00,-1972.349,2025-05-01 12:00:00
2025-05-01 12:05:00,-2024.389,2025-05-01 12:05:00
2025-05-01 12:10:00,-1944.379,2025-05-01 12:10:00
2025-05-01 12:15:00,-1884.339,2025-05-01 12:15:00
2025-05-01 12:20:00,-2004.339,2025-05-01 12:20:00
2025-05-01 12:25:00,-2036.399,2025-05-01 12:25:00
2025-05-01 12:30:00,-2032.349,2025-05-01 12:30:00
2025-05-01 12:35:00,-2008.359,2025-05-01 12:35:00
2025-05-01 12:40:00,-1804.379,2025-05-01 12:40:00
2025-05-01 12:45:00,-1692.339,2025-05-01 12:45:00
2025-05-01 12:50:00,-1672.339,2025-05-01 12:50:00
2025-05-01 12:55:00,-1612.349,2025-05-01 12:55:00
2025-05-01 13:00:00,-1508.339,2025-05-01 13:00:00
2025-05-01 13:05:00,-1492.379,2025-05-01 13:05:00
2025-05-01 13:10:00,-1576.339,2025-05-01 13:10:00
2025-05-01 13:15:00,-1492.389,2025-05-01 13:15:00
2025-05-01 13:20:00,-1520.359,2025-05-01 13:20:00
2025-05-01 13:25:00,-1720.349,2025-05-01 13:25:00
2025-05-01 13:30:00,-1600.349,2025-05-01 13:30:00
2025-05-01 13:35:00,-1616.369,2025-05-01 13:35:00
2025-05-01 13:40:00,-1700.359,2025-05-01 13:40:00
2025-05-01 13:45:00,-1652.379,2025-05-01 13:45:00
2025-05-01 13:50:00,-1604.369,2025-05-01 13:50:00
2025-05-01 13:55:00,-1780.339,2025-05-01 13:55:00
2025-05-01 14:00:00,-1720.369,2025-05-01 14:00:00
2025-05-01 14:05:00,-1744.359,2025-05-01 14:05:00
2025-05-01 14:10:00,-1812.349,2025-05-01 14:10:00
2025-05-01 14:15:00,-1576.349,2025-05-01 14:15:00
2025-05-01 14:20:00,-1744.389,2025-05-01 14:20:00
2025-05-01 14:25:00,-1948.339,2025-05-01 14:25:00
2025-05-01 14:30:00,-1596.339,2025-05-01 14:30:00
2025-05-01 14:35:00,-1596.379,2025-05-01 14:35:00
2025-05-01 14:40:00,-1824.399,2025-05-01 14:40:00
2025-05-01 14:45:00,-1900.399,2025-05-01 14:45:00
2025-05-01 14:50:00,-1936.369,2025-05-01 14:50:00
2025-05-01 14:55:00,-2048.339,2025-05-01 14:55:00
2025-05-01 15:00:00,-2100.349,2025-05-01 15:00:00
2025-05-01 15:05:00,-2304.359,2025-05-01 15:05:00
2025-05-01 15:10:00,-2292.379,2025-05-01 15:10:00
2025-05-01 15:15:00,-2220.349,2025-05-01 15:15:00
2025-05-01 15:20:00,-2096.379,2025-05-01 15:20:00
2025-05-01 15:25:00,-2204.319,2025-05-01 15:25:00
2025-05-01 15:30:00,-2248.389,2025-05-01 15:30:00
2025-05-01 15:35:00,-2316.349,2025-05-01 15:35:00
2025-05-01 15:40:00,-2036.349,2025-05-01 15:40:00
2025-05-01 15:45:00,-1944.389,2025-05-01 15:45:00
2025-05-01 15:50:00,-2076.359,2025-05-01 15:50:00
2025-05-01 15:55:00,-2064.369,2025-05-01 15:55:00
2025-05-01 16:00:00,-2048.319,2025-05-01 16:00:00
2025-05-01 16:05:00,-1988.339,2025-05-01 16:05:00
2025-05-01 16:10:00,-1960.329,2025-05-01 16:10:00
2025-05-01 16:15:00,-1932.389,2025-05-01 16:15:00
2025-05-01 16:20:00,-1956.389,2025-05-01 16:20:00
2025-05-01 16:25:00,-1948.349,2025-05-01 16:25:00
2025-05-01 16:30:00,-1920.389,2025-05-01 16:30:00
2025-05-01 16:35:00,-1900.329,2025-05-01 16:35:00
2025-05-01 16:40:00,-2180.339,2025-05-01 16:40:00
2025-05-01 16:45:00,-1936.349,2025-05-01 16:45:00
2025-05-01 16:50:00,-2012.349,2025-05-01 16:50:00
2025-05-01 16:55:00,-2032.349,2025-05-01 16:55:00
2025-05-01 17:00:00,-2068.379,2025-05-01 17:00:00
2025-05-01 17:05:00,-2028.369,2025-05-01 17:05:00
2025-05-01 17:10:00,-1988.339,2025-05-01 17:10:00
2025-05-01 17:15:00,-2164.359,2025-05-01 17:15:00
2025-05-01 17:20:00,-2076.339,2025-05-01 17:20:00
2025-05-01 17:25:00,-2144.369,2025-05-01 17:25:00
2025-05-01 17:30:00,-1880.369,2025-05-01 17:30:00
2025-05-01 17:35:00,-1992.389,2025-05-01 17:35:00
2025-05-01 17:40:00,-1936.349,2025-05-01 17:40:00
2025-05-01 17:45:00,-1996.339,2025-05-01 17:45:00
2025-05-01 17:50:00,-2004.359,2025-05-01 17:50:00
2025-05-01 17:55:00,-1952.379,2025-05-01 17:55:00
2025-05-01 18:00:00,9000.0,2025-05-01 18:00:00
2025-05-01 18:05:00,9000.0,2025-05-01 18:05:00
2025-05-01 18:10:00,9000.0,2025-05-01 18:10:00
2025-05-01 18:15:00,9000.0,2025-05-01 18:15:00
2025-05-01 18:20:00,9000.0,2025-05-01 18:20:00
2025-05-01 18:25:00,9000.0,2025-05-01 18:25:00
2025-05-01 18:30:00,9000.0,2025-05-01 18:30:00
2025-05-01 18:35:00,9000.0,2025-05-01 18:35:00
2025-05-01 18:40:00,9000.0,2025-05-01 18:40:00
2025-05-01 18:45:00,9000.0,2025-05-01 18:45:00
2025-05-01 18:50:00,9000.0,2025-05-01 18:50:00
2025-05-01 18:55:00,9000.0,2025-05-01 18:55:00
2025-05-01 19:00:00,9000.0,2025-05-01 19:00:00
2025-05-01 19:05:00,8999.999,2025-05-01 19:05:00
2025-05-01 19:10:00,8999.998,2025-05-01 19:10:00
2025-05-01 19:15:00,6680.749,2025-05-01 19:15:00
2025-05-01 19:20:00,0.0,2025-05-01 19:20:00
2025-05-01 19:25:00,0.0,2025-05-01 19:25:00
2025-05-01 19:30:00,0.0,2025-05-01 19:30:00
2025-05-01 19:35:00,0.0,2025-05-01 19:35:00
2025-05-01 19:40:00,0.0,2025-05-01 19:40:00
2025-05-01 19:45:00,0.0,2025-05-01 19:45:00
2025-05-01 19:50:00,0.0,2025-05-01 19:50:00
2025-05-01 19:55:00,0.0,2025-05-01 19:55:00
2025-05-01 20:00:00,0.0,2025-05-01 20:00:00
2025-05-01 20:05:00,0.0,2025-05-01 20:05:00
2025-05-01 20:10:00,0.0,2025-05-01 20:10:00
2025-05-01 20:15:00,0.0,2025-05-01 20:15:00
2025-05-01 20:20:00,0.0,2025-05-01 20:20:00
2025-05-01 20:25:00,0.0,2025-05-01 20:25:00
2025-05-01 20:30:00,0.0,2025-05-01 20:30:00
2025-05-01 20:35:00,0.0,2025-05-01 20:35:00
2025-05-01 20:40:00,0.0,2025-05-01 20:40:00
2025-05-01 20:45:00,0.0,2025-05-01 20:45:00
2025-05-01 20:50:00,0.0,2025-05-01 20:50:00
2025-05-01 20:55:00,0.0,2025-05-01 20:55:00
2025-05-01 21:00:00,0.0,2025-05-01 21:00:00
2025-05-01 21:05:00,0.0,2025-05-01 21:05:00
2025-05-01 21:10:00,0.0,2025-05-01 21:10:00
2025-05-01 21:15:00,0.0,2025-05-01 21:15:00
2025-05-01 21:20:00,0.0,2025-05-01 21:20:00
2025-05-01 21:25:00,0.0,2025-05-01 21:25:00
2025-05-01 21:30:00,0.0,2025-05-01 21:30:00
2025-05-01 21:35:00,0.0,2025-05-01 21:35:00
2025-05-01 21:40:00,0.0,2025-05-01 21:40:00
2025-05-01 21:45:00,0.0,2025-05-01 21:45:00
2025-05-01 21:50:00,0.0,2025-05-01 21:50:00
2025-05-01 21:55:00,0.0,2025-05-01 21:55:00
2025-05-01 22:00:00,-1986.351,2025-05-01 22:00:00
2025-05-01 22:05:00,-2234.381,2025-05-01 22:05:00
2025-05-01 22:10:00,-1950.391,2025-05-01 22:10:00
2025-05-01 22:15:00,-1882.371,2025-05-01 22:15:00
2025-05-01 22:20:00,-1982.381,2025-05-01 22:20:00
2025-05-01 22:25:00,-2178.411,2025-05-01 22:25:00
2025-05-01 22:30:00,-1970.371,2025-05-01 22:30:00
2025-05-01 22:35:00,-1918.331,2025-05-01 22:35:00
2025-05-01 22:40:00,-2058.381,2025-05-01 22:40:00
2025-05-01 22:45:00,-1998.341,2025-05-01 22:45:00
2025-05-01 22:50:00,-2054.361,2025-05-01 22:50:00
2025-05-01 22:55:00,-2142.421,2025-05-01 22:55:00
2025-05-01 23:00:00,-2322.371,2025-05-01 23:00:00
2025-05-01 23:05:00,-2038.341,2025-05-01 23:05:00
2025-05-01 23:10:00,-2102.351,2025-05-01 23:10:00
2025-05-01 23:15:00,-2114.411,2025-05-01 23:15:00
2025-05-01 23:20:00,-2046.351,2025-05-01 23:20:00
2025-05-01 23:25:00,-2038.381,2025-05-01 23:25:00
2025-05-01 23:30:00,-2226.351,2025-05-01 23:30:00
2025-05-01 23:35:00,-1874.361,2025-05-01 23:35:00
2025-05-01 23:40:00,-1962.351,2025-05-01 23:40:00
2025-05-01 23:45:00,-2186.361,2025-05-01 23:45:00
