,power_opt,time
2025-05-01 00:00:00,-1871.629,2025-05-01 00:00:00
2025-05-01 00:05:00,-1811.639,2025-05-01 00:05:00
2025-05-01 00:10:00,-1867.609,2025-05-01 00:10:00
2025-05-01 00:15:00,-1839.629,2025-05-01 00:15:00
2025-05-01 00:20:00,-1807.629,2025-05-01 00:20:00
2025-05-01 00:25:00,-1839.639,2025-05-01 00:25:00
2025-05-01 00:30:00,-1863.629,2025-05-01 00:30:00
2025-05-01 00:35:00,-1931.629,2025-05-01 00:35:00
2025-05-01 00:40:00,-1823.579,2025-05-01 00:40:00
2025-05-01 00:45:00,-1939.619,2025-05-01 00:45:00
2025-05-01 00:50:00,-1919.629,2025-05-01 00:50:00
2025-05-01 00:55:00,-1935.599,2025-05-01 00:55:00
2025-05-01 01:00:00,-1863.609,2025-05-01 01:00:00
2025-05-01 01:05:00,-1915.579,2025-05-01 01:05:00
2025-05-01 01:10:00,-1847.599,2025-05-01 01:10:00
2025-05-01 01:15:00,-1819.619,2025-05-01 01:15:00
2025-05-01 01:20:00,-1927.589,2025-05-01 01:20:00
2025-05-01 01:25:00,-1895.619,2025-05-01 01:25:00
2025-05-01 01:30:00,-1883.599,2025-05-01 01:30:00
2025-05-01 01:35:00,-1931.599,2025-05-01 01:35:00
2025-05-01 01:40:00,-1887.589,2025-05-01 01:40:00
2025-05-01 01:45:00,-1919.639,2025-05-01 01:45:00
2025-05-01 01:50:00,-1979.629,2025-05-01 01:50:00
2025-05-01 01:55:00,-1919.609,2025-05-01 01:55:00
2025-05-01 02:00:00,-2007.599,2025-05-01 02:00:00
2025-05-01 02:05:00,-1987.609,2025-05-01 02:05:00
2025-05-01 02:10:00,-2079.619,2025-05-01 02:10:00
2025-05-01 02:15:00,-1979.599,2025-05-01 02:15:00
2025-05-01 02:20:00,-2007.579,2025-05-01 02:20:00
2025-05-01 02:25:00,-1971.629,2025-05-01 02:25:00
2025-05-01 02:30:00,-2027.609,2025-05-01 02:30:00
2025-05-01 02:35:00,-2111.599,2025-05-01 02:35:00
2025-05-01 02:40:00,-2155.629,2025-05-01 02:40:00
2025-05-01 02:45:00,-2039.579,2025-05-01 02:45:00
2025-05-01 02:50:00,-1923.609,2025-05-01 02:50:00
2025-05-01 02:55:00,-1903.609,2025-05-01 02:55:00
2025-05-01 03:00:00,-1847.629,2025-05-01 03:00:00
2025-05-01 03:05:00,-1939.619,2025-05-01 03:05:00
2025-05-01 03:10:00,-1787.659,2025-05-01 03:10:00
2025-05-01 03:15:00,-1863.639,2025-05-01 03:15:00
2025-05-01 03:20:00,-1931.579,2025-05-01 03:20:00
2025-05-01 03:25:00,-1851.609,2025-05-01 03:25:00
2025-05-01 03:30:00,-1879.639,2025-05-01 03:30:00
2025-05-01 03:35:00,-1951.619,2025-05-01 03:35:00
2025-05-01 03:40:00,-1891.629,2025-05-01 03:40:00
2025-05-01 03:45:00,-1883.639,2025-05-01 03:45:00
2025-05-01 03:50:00,-1907.629,2025-05-01 03:50:00
2025-05-01 03:55:00,-1887.619,2025-05-01 03:55:00
2025-05-01 04:00:00,-1891.629,2025-05-01 04:00:00
2025-05-01 04:05:00,-1927.619,2025-05-01 04:05:00
2025-05-01 04:10:00,-1923.619,2025-05-01 04:10:00
2025-05-01 04:15:00,-2151.619,2025-05-01 04:15:00
2025-05-01 04:20:00,-2187.619,2025-05-01 04:20:00
2025-05-01 04:25:00,-1935.599,2025-05-01 04:25:00
2025-05-01 04:30:00,-1911.609,2025-05-01 04:30:00
2025-05-01 04:35:00,-1871.639,2025-05-01 04:35:00
2025-05-01 04:40:00,-1915.639,2025-05-01 04:40:00
2025-05-01 04:45:00,-1903.559,2025-05-01 04:45:00
2025-05-01 04:50:00,-1895.609,2025-05-01 04:50:00
2025-05-01 04:55:00,-1991.599,2025-05-01 04:55:00
2025-05-01 05:00:00,-1903.649,2025-05-01 05:00:00
2025-05-01 05:05:00,-1887.599,2025-05-01 05:05:00
2025-05-01 05:10:00,-1851.609,2025-05-01 05:10:00
2025-05-01 05:15:00,-1915.639,2025-05-01 05:15:00
2025-05-01 05:20:00,-1947.619,2025-05-01 05:20:00
2025-05-01 05:25:00,-1927.629,2025-05-01 05:25:00
2025-05-01 05:30:00,-1927.599,2025-05-01 05:30:00
2025-05-01 05:35:00,-1963.639,2025-05-01 05:35:00
2025-05-01 05:40:00,-2071.599,2025-05-01 05:40:00
