,power_opt,time
2025-05-01 00:00:00,-1657.129,2025-05-01 00:00:00
2025-05-01 00:05:00,-1597.139,2025-05-01 00:05:00
2025-05-01 00:10:00,-1653.109,2025-05-01 00:10:00
2025-05-01 00:15:00,-1625.129,2025-05-01 00:15:00
2025-05-01 00:20:00,-1593.129,2025-05-01 00:20:00
2025-05-01 00:25:00,-1625.139,2025-05-01 00:25:00
2025-05-01 00:30:00,-1649.129,2025-05-01 00:30:00
2025-05-01 00:35:00,-1717.129,2025-05-01 00:35:00
2025-05-01 00:40:00,-1609.079,2025-05-01 00:40:00
2025-05-01 00:45:00,-1725.119,2025-05-01 00:45:00
2025-05-01 00:50:00,-1705.129,2025-05-01 00:50:00
2025-05-01 00:55:00,-1721.099,2025-05-01 00:55:00
2025-05-01 01:00:00,-1649.109,2025-05-01 01:00:00
2025-05-01 01:05:00,-1701.079,2025-05-01 01:05:00
2025-05-01 01:10:00,-1633.099,2025-05-01 01:10:00
2025-05-01 01:15:00,-1605.119,2025-05-01 01:15:00
2025-05-01 01:20:00,-1713.089,2025-05-01 01:20:00
2025-05-01 01:25:00,-1681.119,2025-05-01 01:25:00
2025-05-01 01:30:00,-1669.099,2025-05-01 01:30:00
2025-05-01 01:35:00,-1717.099,2025-05-01 01:35:00
2025-05-01 01:40:00,-1673.089,2025-05-01 01:40:00
2025-05-01 01:45:00,-1705.139,2025-05-01 01:45:00
2025-05-01 01:50:00,-1765.129,2025-05-01 01:50:00
2025-05-01 01:55:00,-1705.109,2025-05-01 01:55:00
2025-05-01 02:00:00,-1793.099,2025-05-01 02:00:00
2025-05-01 02:05:00,-1773.109,2025-05-01 02:05:00
2025-05-01 02:10:00,-1865.119,2025-05-01 02:10:00
2025-05-01 02:15:00,-1765.099,2025-05-01 02:15:00
2025-05-01 02:20:00,-1793.079,2025-05-01 02:20:00
2025-05-01 02:25:00,-1757.129,2025-05-01 02:25:00
2025-05-01 02:30:00,-1813.109,2025-05-01 02:30:00
2025-05-01 02:35:00,-1897.099,2025-05-01 02:35:00
2025-05-01 02:40:00,-1941.129,2025-05-01 02:40:00
2025-05-01 02:45:00,-1825.079,2025-05-01 02:45:00
2025-05-01 02:50:00,-1709.109,2025-05-01 02:50:00
2025-05-01 02:55:00,-1689.109,2025-05-01 02:55:00
2025-05-01 03:00:00,-1633.129,2025-05-01 03:00:00
2025-05-01 03:05:00,-1725.119,2025-05-01 03:05:00
2025-05-01 03:10:00,-1573.159,2025-05-01 03:10:00
2025-05-01 03:15:00,-1649.139,2025-05-01 03:15:00
2025-05-01 03:20:00,-1717.079,2025-05-01 03:20:00
2025-05-01 03:25:00,-1637.109,2025-05-01 03:25:00
2025-05-01 03:30:00,-1665.139,2025-05-01 03:30:00
2025-05-01 03:35:00,-1737.119,2025-05-01 03:35:00
2025-05-01 03:40:00,-1677.129,2025-05-01 03:40:00
2025-05-01 03:45:00,-1669.139,2025-05-01 03:45:00
2025-05-01 03:50:00,-1693.129,2025-05-01 03:50:00
2025-05-01 03:55:00,-1673.119,2025-05-01 03:55:00
2025-05-01 04:00:00,-1677.129,2025-05-01 04:00:00
2025-05-01 04:05:00,-1713.119,2025-05-01 04:05:00
2025-05-01 04:10:00,-1709.119,2025-05-01 04:10:00
2025-05-01 04:15:00,-1937.119,2025-05-01 04:15:00
2025-05-01 04:20:00,-1973.119,2025-05-01 04:20:00
2025-05-01 04:25:00,-1721.099,2025-05-01 04:25:00
2025-05-01 04:30:00,-1697.109,2025-05-01 04:30:00
2025-05-01 04:35:00,-1657.139,2025-05-01 04:35:00
2025-05-01 04:40:00,-1701.139,2025-05-01 04:40:00
2025-05-01 04:45:00,-1689.059,2025-05-01 04:45:00
2025-05-01 04:50:00,-1681.109,2025-05-01 04:50:00
2025-05-01 04:55:00,-1777.099,2025-05-01 04:55:00
2025-05-01 05:00:00,-1689.149,2025-05-01 05:00:00
2025-05-01 05:05:00,-1673.099,2025-05-01 05:05:00
2025-05-01 05:10:00,-1637.109,2025-05-01 05:10:00
2025-05-01 05:15:00,-1701.139,2025-05-01 05:15:00
2025-05-01 05:20:00,-1733.119,2025-05-01 05:20:00
2025-05-01 05:25:00,-1713.129,2025-05-01 05:25:00
2025-05-01 05:30:00,-1713.099,2025-05-01 05:30:00
2025-05-01 05:35:00,-1749.139,2025-05-01 05:35:00
2025-05-01 05:40:00,-1857.099,2025-05-01 05:40:00
2025-05-01 05:45:00,-1785.099,2025-05-01 05:45:00
2025-05-01 05:50:00,-1833.109,2025-05-01 05:50:00
2025-05-01 05:55:00,-1777.099,2025-05-01 05:55:00
2025-05-01 06:00:00,-1324.191,2025-05-01 06:00:00
2025-05-01 06:05:00,-1324.277,2025-05-01 06:05:00
2025-05-01 06:10:00,-1324.191,2025-05-01 06:10:00
2025-05-01 06:15:00,-1324.185,2025-05-01 06:15:00
2025-05-01 06:20:00,-1324.245,2025-05-01 06:20:00
2025-05-01 06:25:00,-1324.172,2025-05-01 06:25:00
2025-05-01 06:30:00,-1324.238,2025-05-01 06:30:00
2025-05-01 06:35:00,-1324.255,2025-05-01 06:35:00
2025-05-01 06:40:00,-1324.242,2025-05-01 06:40:00
2025-05-01 06:45:00,-1324.233,2025-05-01 06:45:00
2025-05-01 06:50:00,-1324.232,2025-05-01 06:50:00
2025-05-01 06:55:00,-1324.223,2025-05-01 06:55:00
2025-05-01 07:00:00,-1324.227,2025-05-01 07:00:00
2025-05-01 07:05:00,-1324.221,2025-05-01 07:05:00
2025-05-01 07:10:00,-1324.227,2025-05-01 07:10:00
2025-05-01 07:15:00,-1324.235,2025-05-01 07:15:00
2025-05-01 07:20:00,-1324.219,2025-05-01 07:20:00
2025-05-01 07:25:00,-1324.246,2025-05-01 07:25:00
2025-05-01 07:30:00,-1324.218,2025-05-01 07:30:00
