,power_opt,time
2025-05-01 00:00:00,-1411.926,2025-05-01 00:00:00
2025-05-01 00:05:00,-1351.936,2025-05-01 00:05:00
2025-05-01 00:10:00,-1407.906,2025-05-01 00:10:00
2025-05-01 00:15:00,-1379.926,2025-05-01 00:15:00
2025-05-01 00:20:00,-1347.926,2025-05-01 00:20:00
2025-05-01 00:25:00,-1379.936,2025-05-01 00:25:00
2025-05-01 00:30:00,-1403.926,2025-05-01 00:30:00
2025-05-01 00:35:00,-1471.926,2025-05-01 00:35:00
2025-05-01 00:40:00,-1363.876,2025-05-01 00:40:00
2025-05-01 00:45:00,-1479.916,2025-05-01 00:45:00
2025-05-01 00:50:00,-1459.926,2025-05-01 00:50:00
2025-05-01 00:55:00,-1475.896,2025-05-01 00:55:00
2025-05-01 01:00:00,-1403.906,2025-05-01 01:00:00
2025-05-01 01:05:00,-1455.876,2025-05-01 01:05:00
2025-05-01 01:10:00,-1387.896,2025-05-01 01:10:00
2025-05-01 01:15:00,-1359.916,2025-05-01 01:15:00
2025-05-01 01:20:00,-1467.886,2025-05-01 01:20:00
2025-05-01 01:25:00,-1435.916,2025-05-01 01:25:00
2025-05-01 01:30:00,-1423.896,2025-05-01 01:30:00
2025-05-01 01:35:00,-1471.896,2025-05-01 01:35:00
2025-05-01 01:40:00,-1427.886,2025-05-01 01:40:00
2025-05-01 01:45:00,-1459.936,2025-05-01 01:45:00
2025-05-01 01:50:00,-1519.926,2025-05-01 01:50:00
2025-05-01 01:55:00,-1459.906,2025-05-01 01:55:00
2025-05-01 02:00:00,-1547.896,2025-05-01 02:00:00
2025-05-01 02:05:00,-1527.906,2025-05-01 02:05:00
2025-05-01 02:10:00,-1619.916,2025-05-01 02:10:00
2025-05-01 02:15:00,-1519.896,2025-05-01 02:15:00
2025-05-01 02:20:00,-1547.876,2025-05-01 02:20:00
2025-05-01 02:25:00,-1511.926,2025-05-01 02:25:00
2025-05-01 02:30:00,-1567.906,2025-05-01 02:30:00
2025-05-01 02:35:00,-1651.896,2025-05-01 02:35:00
2025-05-01 02:40:00,-1695.926,2025-05-01 02:40:00
2025-05-01 02:45:00,-1579.876,2025-05-01 02:45:00
2025-05-01 02:50:00,-1463.906,2025-05-01 02:50:00
2025-05-01 02:55:00,-1443.906,2025-05-01 02:55:00
2025-05-01 03:00:00,-1387.926,2025-05-01 03:00:00
2025-05-01 03:05:00,-1479.916,2025-05-01 03:05:00
