,power_opt,time
2025-05-01 00:00:00,-947.991,2025-05-01 00:00:00
2025-05-01 00:05:00,-888.001,2025-05-01 00:05:00
2025-05-01 00:10:00,-943.971,2025-05-01 00:10:00
2025-05-01 00:15:00,-915.991,2025-05-01 00:15:00
2025-05-01 00:20:00,-883.991,2025-05-01 00:20:00
2025-05-01 00:25:00,-916.001,2025-05-01 00:25:00
2025-05-01 00:30:00,-939.991,2025-05-01 00:30:00
2025-05-01 00:35:00,-1007.991,2025-05-01 00:35:00
2025-05-01 00:40:00,-899.941,2025-05-01 00:40:00
2025-05-01 00:45:00,-1015.981,2025-05-01 00:45:00
2025-05-01 00:50:00,-995.991,2025-05-01 00:50:00
2025-05-01 00:55:00,-1011.961,2025-05-01 00:55:00
2025-05-01 01:00:00,-939.971,2025-05-01 01:00:00
2025-05-01 01:05:00,-991.941,2025-05-01 01:05:00
2025-05-01 01:10:00,-923.961,2025-05-01 01:10:00
2025-05-01 01:15:00,-895.981,2025-05-01 01:15:00
2025-05-01 01:20:00,-1003.951,2025-05-01 01:20:00
2025-05-01 01:25:00,-971.981,2025-05-01 01:25:00
2025-05-01 01:30:00,-959.961,2025-05-01 01:30:00
2025-05-01 01:35:00,-1007.961,2025-05-01 01:35:00
2025-05-01 01:40:00,-963.951,2025-05-01 01:40:00
2025-05-01 01:45:00,-996.001,2025-05-01 01:45:00
2025-05-01 01:50:00,-1055.991,2025-05-01 01:50:00
2025-05-01 01:55:00,-995.971,2025-05-01 01:55:00
2025-05-01 02:00:00,-1083.961,2025-05-01 02:00:00
2025-05-01 02:05:00,-1063.971,2025-05-01 02:05:00
2025-05-01 02:10:00,-1155.981,2025-05-01 02:10:00
2025-05-01 02:15:00,-1055.961,2025-05-01 02:15:00
2025-05-01 02:20:00,-1083.941,2025-05-01 02:20:00
2025-05-01 02:25:00,-1047.991,2025-05-01 02:25:00
2025-05-01 02:30:00,-1103.971,2025-05-01 02:30:00
2025-05-01 02:35:00,-1187.961,2025-05-01 02:35:00
2025-05-01 02:40:00,-1231.991,2025-05-01 02:40:00
2025-05-01 02:45:00,-1115.941,2025-05-01 02:45:00
2025-05-01 02:50:00,-999.971,2025-05-01 02:50:00
2025-05-01 02:55:00,-979.971,2025-05-01 02:55:00
2025-05-01 03:00:00,-923.991,2025-05-01 03:00:00
2025-05-01 03:05:00,-1015.981,2025-05-01 03:05:00
2025-05-01 03:10:00,-864.021,2025-05-01 03:10:00
2025-05-01 03:15:00,-940.001,2025-05-01 03:15:00
2025-05-01 03:20:00,-1007.941,2025-05-01 03:20:00
2025-05-01 03:25:00,-927.971,2025-05-01 03:25:00
2025-05-01 03:30:00,-956.001,2025-05-01 03:30:00
2025-05-01 03:35:00,-1027.981,2025-05-01 03:35:00
2025-05-01 03:40:00,-967.991,2025-05-01 03:40:00
2025-05-01 03:45:00,-960.001,2025-05-01 03:45:00
2025-05-01 03:50:00,-983.991,2025-05-01 03:50:00
2025-05-01 03:55:00,-963.981,2025-05-01 03:55:00
2025-05-01 04:00:00,-967.991,2025-05-01 04:00:00
2025-05-01 04:05:00,-1003.981,2025-05-01 04:05:00
2025-05-01 04:10:00,-999.981,2025-05-01 04:10:00
2025-05-01 04:15:00,-1227.981,2025-05-01 04:15:00
2025-05-01 04:20:00,-1263.981,2025-05-01 04:20:00
2025-05-01 04:25:00,-1011.961,2025-05-01 04:25:00
2025-05-01 04:30:00,-987.971,2025-05-01 04:30:00
2025-05-01 04:35:00,-948.001,2025-05-01 04:35:00
2025-05-01 04:40:00,-992.001,2025-05-01 04:40:00
2025-05-01 04:45:00,-979.921,2025-05-01 04:45:00
2025-05-01 04:50:00,-971.971,2025-05-01 04:50:00
2025-05-01 04:55:00,-1067.961,2025-05-01 04:55:00
