,power_opt,time
2025-05-01 00:00:00,-3098.103,2025-05-01 00:00:00
2025-05-01 00:05:00,-3097.447,2025-05-01 00:05:00
2025-05-01 00:10:00,-3098.091,2025-05-01 00:10:00
2025-05-01 00:15:00,-3097.993,2025-05-01 00:15:00
2025-05-01 00:20:00,-3094.571,2025-05-01 00:20:00
2025-05-01 00:25:00,-3097.997,2025-05-01 00:25:00
2025-05-01 00:30:00,-3098.082,2025-05-01 00:30:00
2025-05-01 00:35:00,-3098.113,2025-05-01 00:35:00
2025-05-01 00:40:00,-3098.14,2025-05-01 00:40:00
2025-05-01 00:45:00,-3098.101,2025-05-01 00:45:00
2025-05-01 00:50:00,-3098.146,2025-05-01 00:50:00
2025-05-01 00:55:00,-3098.117,2025-05-01 00:55:00
2025-05-01 01:00:00,-3098.095,2025-05-01 01:00:00
2025-05-01 01:05:00,-3098.164,2025-05-01 01:05:00
2025-05-01 01:10:00,-3098.033,2025-05-01 01:10:00
2025-05-01 01:15:00,-3098.265,2025-05-01 01:15:00
2025-05-01 01:20:00,-3098.158,2025-05-01 01:20:00
2025-05-01 01:25:00,-3098.192,2025-05-01 01:25:00
2025-05-01 01:30:00,-3098.182,2025-05-01 01:30:00
2025-05-01 01:35:00,-3098.169,2025-05-01 01:35:00
2025-05-01 01:40:00,-3098.202,2025-05-01 01:40:00
2025-05-01 01:45:00,-3098.206,2025-05-01 01:45:00
2025-05-01 01:50:00,-3098.088,2025-05-01 01:50:00
2025-05-01 01:55:00,-3098.224,2025-05-01 01:55:00
2025-05-01 02:00:00,-3098.064,2025-05-01 02:00:00
2025-05-01 02:05:00,-3098.101,2025-05-01 02:05:00
2025-05-01 02:10:00,-3098.093,2025-05-01 02:10:00
2025-05-01 02:15:00,-3098.13,2025-05-01 02:15:00
2025-05-01 02:20:00,-3098.092,2025-05-01 02:20:00
2025-05-01 02:25:00,-3098.155,2025-05-01 02:25:00
2025-05-01 02:30:00,-3098.085,2025-05-01 02:30:00
2025-05-01 02:35:00,-3098.17,2025-05-01 02:35:00
2025-05-01 02:40:00,-3098.278,2025-05-01 02:40:00
2025-05-01 02:45:00,-3098.09,2025-05-01 02:45:00
2025-05-01 02:50:00,-3098.265,2025-05-01 02:50:00
2025-05-01 02:55:00,-3098.284,2025-05-01 02:55:00
2025-05-01 03:00:00,-3098.128,2025-05-01 03:00:00
2025-05-01 03:05:00,-3098.24,2025-05-01 03:05:00
2025-05-01 03:10:00,-3074.626,2025-05-01 03:10:00
2025-05-01 03:15:00,-3098.203,2025-05-01 03:15:00
2025-05-01 03:20:00,-3098.259,2025-05-01 03:20:00
