,time,value,type
9347,2025-05-01 10:55:00,0.9736,峰
9348,2025-05-01 11:00:00,0.6369,平
9349,2025-05-01 11:05:00,0.6369,平
9350,2025-05-01 11:10:00,0.6369,平
9351,2025-05-01 11:15:00,0.6369,平
9352,2025-05-01 11:20:00,0.6369,平
9353,2025-05-01 11:25:00,0.6369,平
9354,2025-05-01 11:30:00,0.6369,平
9355,2025-05-01 11:35:00,0.6369,平
9356,2025-05-01 11:40:00,0.6369,平
9357,2025-05-01 11:45:00,0.6369,平
9358,2025-05-01 11:50:00,0.6369,平
9359,2025-05-01 11:55:00,0.6369,平
9360,2025-05-01 12:00:00,0.6369,平
9361,2025-05-01 12:05:00,0.6369,平
9362,2025-05-01 12:10:00,0.6369,平
9363,2025-05-01 12:15:00,0.6369,平
9364,2025-05-01 12:20:00,0.6369,平
9365,2025-05-01 12:25:00,0.6369,平
9366,2025-05-01 12:30:00,0.6369,平
9367,2025-05-01 12:35:00,0.6369,平
9368,2025-05-01 12:40:00,0.6369,平
9369,2025-05-01 12:45:00,0.6369,平
9370,2025-05-01 12:50:00,0.6369,平
9371,2025-05-01 12:55:00,0.6369,平
9372,2025-05-01 13:00:00,0.6369,平
9373,2025-05-01 13:05:00,0.6369,平
9374,2025-05-01 13:10:00,0.6369,平
9375,2025-05-01 13:15:00,0.6369,平
9376,2025-05-01 13:20:00,0.6369,平
9377,2025-05-01 13:25:00,0.6369,平
9378,2025-05-01 13:30:00,0.6369,平
9379,2025-05-01 13:35:00,0.6369,平
9380,2025-05-01 13:40:00,0.6369,平
9381,2025-05-01 13:45:00,0.6369,平
9382,2025-05-01 13:50:00,0.6369,平
9383,2025-05-01 13:55:00,0.6369,平
9384,2025-05-01 14:00:00,0.6369,平
9385,2025-05-01 14:05:00,0.6369,平
9386,2025-05-01 14:10:00,0.6369,平
9387,2025-05-01 14:15:00,0.6369,平
9388,2025-05-01 14:20:00,0.6369,平
9389,2025-05-01 14:25:00,0.6369,平
9390,2025-05-01 14:30:00,0.6369,平
9391,2025-05-01 14:35:00,0.6369,平
9392,2025-05-01 14:40:00,0.6369,平
9393,2025-05-01 14:45:00,0.6369,平
9394,2025-05-01 14:50:00,0.6369,平
9395,2025-05-01 14:55:00,0.6369,平
9396,2025-05-01 15:00:00,0.6369,平
9397,2025-05-01 15:05:00,0.6369,平
9398,2025-05-01 15:10:00,0.6369,平
9399,2025-05-01 15:15:00,0.6369,平
9400,2025-05-01 15:20:00,0.6369,平
9401,2025-05-01 15:25:00,0.6369,平
9402,2025-05-01 15:30:00,0.6369,平
9403,2025-05-01 15:35:00,0.6369,平
9404,2025-05-01 15:40:00,0.6369,平
9405,2025-05-01 15:45:00,0.6369,平
9406,2025-05-01 15:50:00,0.6369,平
9407,2025-05-01 15:55:00,0.6369,平
9408,2025-05-01 16:00:00,0.6369,平
9409,2025-05-01 16:05:00,0.6369,平
9410,2025-05-01 16:10:00,0.6369,平
9411,2025-05-01 16:15:00,0.6369,平
9412,2025-05-01 16:20:00,0.6369,平
9413,2025-05-01 16:25:00,0.6369,平
